id,txt,GRNB,FUND,IND,UNI,COR,MISC
7042805,"We appreciate the assistance of Lina Garada, Erin Campbell, and Shreya Kothaneth with data analysis and management of the video data corpus.",,,Lina Garada;Erin Campbell;Shreya Kothaneth,,,
7288733,We thank Y. Hirota and Y. Okazaki for providing advice on sampling methods in Tosa Bay.,,,Hirota;Y. Okazaki,,,
12591596,We thank Ming Zeng and all anonymous reviewers.,,,Ming Zeng,,,
1487669,"This study was conducted with the support of Program Grant 633007 from the Australian National Health and Medical Research Council of Australia, awarded to Mark Onslow, Ann Packman, and Ross Menzies.",633007,Australian National Health and Medical Research Council of Australia,Mark Onslow;Ann Packman;Ross Menzies,,,
3876105,Claire M. Kaplan and Rachael M. Tillman contributed equally.,,,Claire M. Kaplan;Rachael M. Tillman,,,
11851526,"The authors also would like to thank Prof. Joao Miguel Dias (the coordinator of EMERA project), Prof. Isabel Abrantes and Mr. Rui Marques, of Aveiro University, for the valuable collaboration and to the Department of Biology of Aveiro University for the vessel advance used during the fieldwork.",,,Joao Miguel Dias;Isabel Abrantes;Rui Marques,Aveiro University;Department of Biology of Aveiro University,,EMERA project
5812282,"F. Tuya was supported by the MINECO 'Ramon y Cajal' program, T. Wernberg by the Australian Research Council and I. Bertocci by FCT within the Programa Ciencia 2008 - Fundo Social Europeu.",,Programa Ciencia;Fundo Social Europeu;MINECO;Programa Ciencia 2008 - Fundo Social Europeu,F. Tuya;T. Wernberg;I. Bertocci,,,Ramon y Cajal
5900579,"Thoughtful comments of Professor Phillip A. Meyers, an anonymous reviewer, and Editor S. Bradley Moran are greatly appreciated.",,,Phillip A. Meyers;S. Bradley Moran,,,
3450191,The work of P. H. Khotimah was supported by Indonesian Endowment Fund for Education.,,Indonesian Endowment Fund for Education,H. Khotimah,,,
3105212,"We are grateful for Max Lotstein for help in all aspects of the research, including the computational modeling.",,,Max Lotstein,,,
11177640,"Funding for this study was provided by NIDA (grant F31 DA038426, awarded to Alexandra Wimberly), NIH (grant 5T32DA037801, awarded to the Training Program on HIV and Substance Use in the Criminal Justice System), The Peter F. McManus Charitable Trust and The National Coalition of Independent Scholars.",F31 DA038426;5T32DA037801,NIDA;NIH;The Peter F. McManus Charitable Trust;The National Coalition of Independent Scholars,Alexandra Wimberly,,,Training Program on HIV and Substance Use in the Criminal Justice System
5367148,"We thank Sandra Baquie, Abhishek Jain, Saurabh Tripathi, Daniel Carrion, and Jorg Peters for valuable comments.",,,Sandra Baquie;Abhishek Jain;Saurabh Tripathi;Daniel Carrion;Jorg Peters,,,
14883777,This work was supported by the Israeli National Institute for Health Policy and Health Services Research grant 2006/6 to Prof. Nakash.,2006/6,Israeli National Institute for Health Policy and Health Services Research grant,Nakash,,,
8443362,"B. Levi Bolin, Joseph L. Alcorn III, and Anna R. Reynolds composed the initial draft of the article.",,,B. Levi Bolin;Joseph L. Alcorn III;Anna R. Reynolds,,,
13397708,Cobb Scott and MH070345 to Steven M. Southwick and by the Clinical Neurosciences Division of the National Center for Posttraumatic Stress Disorder.,MH070345,,Cobb Scott;Steven M. Southwick,,,Clinical Neurosciences Division of the National Center for Posttraumatic Stress Disorder
8342524,This paper was recommended by Associate Editor S. Landry.,,,S. Landry,,,
10192153,I am also indebted to Kris Kanthak for vigorous discussions during the early stages of this project.,,,Kris Kanthak,,,
3159669,K. K. would like to thank the Marian Smoluchowski Cracow Scientific Consortium - KNOW for their support.,,Marian Smoluchowski Cracow Scientific Consortium - KNOW,K. K.,,,
6771960,"The work reported in this article was supported by National Institute on Deafness and Other Communication Disorders Grants R01DC009272 (awarded to Tracy Love and Lewis P. Shapiro), R01DC000494 (awarded to Lewis P. Shapiro), and T32DC007361 (awarded to Lewis P. Shapiro).",R01DC009272;T32DC007361;R01DC000494,National Institute on Deafness and Other Communication Disorders,Tracy Love;Lewis P. Shapiro,,,
15544845,"For helpful comments at various stages of the project, I thank Matthias Doepke, Roger Farmer, Junichi Fujimoto, Hanno Lustig, Lee Ohanian, Hajime Tomura, Pierre-Olivier Weill, and seminar participants at GRIPS, Tohoku University, National Taiwan University, Waseda University, Nagoya University, Taipei International Conference on Growth, Trade and Dynamics, DSGE Conference, Southern Economic Association Conference, and CEANA Conference.",,,Matthias Doepke;Roger Farmer;Junichi Fujimoto;Hanno Lustig;Lee Ohanian;Hajime Tomura;Pierre-Olivier Weill,Tohoku University;Waseda University,,"GRIPS;Taipei International Conference on Growth, Trade and Dynamics;DSGE Conference;Southern Economic Association Conference;CEANA Conference"
18191504,This research was supported by National Institute of Deafness and Communication Disorders (NIDCD) [grant number DC00942] to David Caplan.,DC00942,National Institute of Deafness and Communication Disorders (NIDCD),David Caplan,,,
16808299,"The principal investigators and co-investigators were: Indiana University, Indianapolis, IN (U01 MH46282), J. Nurnberger, M.D., Ph.D., M. Miller, M.D. and E. Bowman, M.D.; Washington University, St Louis, MO (U01 MH46280), T. Reich, M.D., A. Goate, Ph.D. and J. Rice, Ph.D.; Johns Hopkins University, Baltimore, MD (U01 MH46274), J. R. DePaulo Jr, M.D., S. Simpson, M.D., M.Ph. and C. Stine, Ph.D.; NIMH Intramural Research Program, Clinical Neurogenetics Branch, Bethesda, MD, E. Gershon, M.D., D. Kazuba, B.A. and E. Maxwell, M.S.W.",,"NIMH Intramural Research Program, Clinical Neurogenetics Branch",J. Nurnberger;M. Miller;E. Bowman;T. Reich;A. Goate;J. Rice;J. R. DePaulo Jr;S. Simpson;C. Stine;E. Gershon;D. Kazuba;M.D.;B.A. and E. Maxwell,"Indiana University, Indianapolis;Washington University, St Louis;Johns Hopkins University, Baltimore",,
11869742,Special thanks also to Dr. Fang He from Zhejiang University for stimulating discussions and valuable comments.,,,Fang He,Zhejiang University,,
1710813,"The authors thank Dr John Field for his statistical contribution and advice; Graeme Tucker, Tina Hardin and Phil Battista for the provision and linkage of data; Margaret Clark for the provision of additional clinical and patient data; and unit secretaries, nurses and medical records staff at the Royal Adelaide Hospital for their support with accessing files for data collection.",,,John Field;Graeme Tucker;Tina Hardin;Phil Battista;Margaret Clark,,Royal Adelaide Hospital,
11729948,"The research of Hon Keung Tony Ng is partially supported by a grant from the Simons Foundation (#280601), United States.",280601,Simons Foundation,Hon Keung Tony Ng,,,
9487058,"The authors would like to express their thanks to Mercedes Marcos, professor at the Philology Faculty of Salamanca University (Spain), for the support received and her kind answers to all our questions on different linguistic issues.",,,Mercedes Marcos,Philology Faculty of Salamanca University (Spain),,
16418069,"The scientific advisors are Alec Miners, Cesar Caceres, and Richard Harding.",,,Alec Miners;Cesar Caceres;Richard Harding,,,
11729948,"The research of Chi Zhang is partially supported by Showalter Trust, Indiana CTSI, United States.",,Showalter Trust;Indiana CTSI,Chi Zhang,,,
15967200,"We would like to thank the anonymous reviewers, Tony Nowatzki and the members of Vertical Research Group for their useful feedback on this work.",,,Tony Nowatzki,,,Vertical Research Group
6673000,E. Rosnes was supported in part by the NorwegianEstonian Research Cooperation Program under Grant EMP133 and in part by the Research Council of Norway under Grant 240985/F20.,EMP133;240985/F20,NorwegianEstonian Research Cooperation Program;Research Council of Norway,E. Rosnes,,,
8461311,This research was supported by a pilot grant awarded to Jamila Bookwala by the Wisconsin Longitudinal Study (WLS) Pilot Grant Program of the University of Wisconsin-Madison.,,,Jamila Bookwala,Wisconsin Longitudinal Study (WLS) Pilot Grant Program of the University of Wisconsin-Madison,,WLS
10703791,This paper was stimulated by the private communication with Jushan Bai.,,,Jushan Bai,,,
10294517,The authors would also like to thank Victoria Theocharous for her assistance during data collection process.,,,Victoria Theocharous,,,
4280594,"This work was supported by the Economic and Social Research Council [grant number ES/J500100/11, an ESRC postgraduate studentship to Chloe Robbins.",ES/J500100/11,Economic and Social Research Council;ESRC,Chloe Robbins,,,
12024439,We thank Dr. Scott Lukas for his support on the project and helpful discussions.,,,Scott Lukas,,,
4923698,"We are also grateful to Mineharu Nakayama, Ellen Lau, Hajime Ono, and Shin Fukuda for their helpful comments.",,,Mineharu Nakayama;Ellen Lau;Hajime Ono;Shin Fukuda,,,
17149478,"Thanks also to the participants of ViLA 2012 for comments on a presentation based on these data, and to Susannah Kirby, Marie Coppola, Shana Poplack, and two anonymous referees for comments on an earlier version of the manuscript.",,,Susannah Kirby;Marie Coppola;Shana Poplack,,,ViLA 2012
11815086,We would like to thank Claire L Niedzwiedz for providing feedback on drafts of the manuscript.,,,Claire L Niedzwiedz,,,
10813872,"We would like to express thanks to Susan Keane, Peter Maxson, Ken Davis and this journal's peer reviewers for insightful comments on earlier versions of this paper.",,,Susan Keane;Peter Maxson;Ken Davis,,,
12855357,"We further thank Alpar Barsi and Marc Roucaute at INRA for providing zero-variate data points, and Fernando Monroy at the group Ecological Sciences at the VU for providing respiration data of adult snails.",,,Alpar Barsi;Marc Roucaute;Fernando Monroy,Ecological Sciences;VU,,INRA
16418069,"The authors would like to thank Brian West and Koen Block from EATG for providing them with valuable insights to design this study and their local partners (Terrence Higgins Trust, United Kingdom; Sensoa, Belgium; Lux Vitae, Croatia; Projecte dels NOMS, Spain; and GAT, Portugal) for supporting them in the recruitment of study participants and in facilitating co-design workshops with PLWH.",,"Terrence Higgins Trust, United Kingdom; Sensoa, Belgium; Lux Vitae, Croatia; Projecte dels NOMS, Spain;GAT, Portugal",Brian West;Koen Block,,,EATG
5609258,"This research is supported by the Indiana Clinical and Translational Sciences Institute Young Investigator Award funded in part by National Institutes of Health grant # UL1TR001108 (A. Shekhar, PI), 9/26/2013-4/30/2018, and the Indiana University Strategic Research Initiative (SRI).",9/26/2013-4/30/2018;UL1TR001108,Indiana Clinical and Translational Sciences Institute Young Investigator Award;National Institutes of Health,A. Shekhar,Indiana University Strategic Research Initiative (SRI),,
3506757,"We are grateful to Yangyang Zhao, Baoming Yang, Tingfei Lan and Hao Wu for their participation in the field work.",,,Yangyang Zhao;Baoming Yang;Tingfei Lan;Hao Wu,,,
10953842,Zoe Kuehn acknowledges financial support from the Ministerio de Economia Industria y Competitividad (ECO2017-82882-R) in Spain.,ECO2017-82882-R,Ministerio de Economia Industria y Competitividad,Zoe Kuehn,,,
10660273,We also thank S. Pla for her laboratory assistance.,,,S. Pla,,,
8240579,"James A de Haast, Coleen L Moloney and Anne M Treasure were supported in part through the SCAMPI project (Grant Number 91314), funded by the National Research Foundation of South Africa through the South Africa-Norway Research Co-operation (SANCOOP), and by Grant Number 98967.",91314,SCAMPI;National Research Foundation of South Africa;South Africa-Norway Research Co-operation (SANCOOP),James A de Haast;Coleen L Moloney;Anne M Treasure,,,
3946211,This study was also supported a grant from the National Institute of Child Health and Human Development (R01HD079512 to CM) and Dr. Mazefsky received additional support from NICHD (K23HD060601).,K23HD060601;R01HD079512,NICHD;National Institute of Child Health and Human Development,Dr. Mazefsky,,,
12196225,"We thank Erik Arias, Lucio Baccharo, Jeff Frieden, Julia Gray, Mark Hallerberg, Simon Hug, Martijn Huysmans, Lukas Linsi, Lucas Leemann, Gail McElroy, Peter Rosendorff, Gerald Schneider, Marco Steenbergen, Rachel Wellhausen, and participants in seminars at the Universities of Mainz, Konstanz, York, Newcastle, Zurich, Complutense, the LSE, the WTI Bern, the ""Financial Crisis Management"" Workshop in Berlin, and the SPSA 2016, EPSA 2016, IPES 2016, and PEIO 2017 annual meetings for helpful comments on previous drafts of this paper.",,,Erik Arias;Lucio Baccharo;Jeff Frieden;Julia Gray;Mark Hallerberg;Simon Hug;Martijn Huysmans;Lukas Linsi;Lucas Leemann;Gail McElroy;Peter Rosendorff;Gerald Schneider;Marco Steenbergen;Rachel Wellhausen,Universities of Mainz,,"LSE;WTI Bern;""Financial Crisis Management"" Workshop in Berlin;SPSA 2016;EPSA 2016;IPES 2016;PEIO 2017"
7065390,Arai acknowledges the financial support from JSPS KAKENHI grant number 23730298.,23730298,JSPS KAKENHI,Arai,,,
14551334,Many thanks to Ian Probert and Estelle Bigeard for their invaluable contribution during the sampling and experiments set up.,,,Ian Probert;Estelle Bigeard,,,
13958267,"The authors gratefully thank the Co-editor Jianqing Fan, the Associate Editor, and two anonymous referees for their many constructive comments on the previous version of the paper.",,,Jianqing Fan,,,
6831585,"The authors also acknowledge the field support of Miguel Maldonado, Robinson Altamirano, and Cristian Vera between many other students.",,,Miguel Maldonado;Robinson Altamirano;Cristian Vera,,,
3255229,"We thank J. Duffy-Anderson, R. Lauth, E. Logerwell, S. Mcdermott, J, Napp, L. Rogers, and M. Wilson for comments on an early draft of this manuscript.",,,"J. Duffy-Anderson;R. Lauth;E. Logerwell;S. Mcdermott;J, Napp;L. Rogers;M. Wilson",,,
16383977,"Serge Abiteboul, Zack Ives, Dan Suciu, and Phil Wadler pointed us to related work.",,,Zack Ives;Serge Abiteboul;Dan Suciu;Phil Wadler,,,
7042805,"This article is part of the first author's dissertation work, and we thank the other committee members Michael Evans, Marie Paretti, and Chris Williams for their helpful feedback and suggestions.",,,Michael Evans;Marie Paretti;Chris Williams,,,
3333604,"We would like to acknowledge Consorzio di Bonifica Deltapo (whose personnel has been always available with very helpful information) for providing bathymetry data of Po Delta lagoons and littorals and data of freshwater discharge of pumping stations; AIPO (Agenzia Interregionale per il fiume Po) for providing Po river cross sections and water level recorded along the Po river; Alessandro Bossman from CNR-IGAG (Institute of Environmental Geology and Geoengineering of the Italian National Research) for providing multibeam bathymetry data of Po di Pila and his two lateral branches; Fantina Madricardo (CNR-ISMAR) for providing multibeam bathymetry data of Pila mouth; Agenzia Regionale per la Prevenzione, l'Ambiente e l'Energia dell'Emilia-Romagna (ARPAE), for providing bathymetry data of Goro Lagoon, tidal data from Porto Garibaldi, Volano and Faro di Goro stations, and salinity and water temperature data from offshore buoy; ISPRA Servizio Laguna di Venezia for providing other water level and meteorological data; and Agenzia Regionale per la Prevenzione e Protezione Ambientale del Veneto (ARPAV) for providing the meteorological data and the Adige river discharge.",,CNR-ISMAR,Alessandro Bossman;Fantina Madricardo ,CNR-IGAG (Institute of Environmental Geology and Geoengineering of the Italian National Research),"Consorzio di Bonifica Deltapo;AIPO (Agenzia Interregionale per il fiume Po);Agenzia Regionale per la Prevenzione, l'Ambiente e l'Energia dell'Emilia-Romagna (ARPAE);ISPRA Servizio Laguna di Venezia;Agenzia Regionale per la Prevenzione e Protezione Ambientale del Veneto (ARPAV)",
9024816,We thank Hannah Schwartz and Harry Rowe for assistance with data collection and stimuli creation.,,,Hannah Schwartz;Harry Rowe,,,
13818347,The author would like to thank lab member Wenfeng Zhao for preparing the low-voltage digital synthesis library.,,,Wenfeng Zhao,,,
13958267,Su gratefully acknowledges the Singapore Ministry of Education for the Tier-2 Academic Research Fund (AcRF) under grant number MOE2012-T2-2-021 and the Lee Kong Chian Fund for Excellence.,MOE2012-T2-2-021,Singapore Ministry of Education;Tier-2 Academic Research Fund (AcRF);Lee Kong Chian Fund for Excellence,Su,,,
4657179,"This work was made possible in part by grants from the German Research Foundation to S. Heim and A. Keil and from the National Institute of Mental Health (R01 MH097320) to A. Keil, with additional support from the CKEW Foundation to S. Heim.",R01 MH097320,National Institute of Mental Health;German Research Foundation;CKEW Foundation,S. Heim;A. Keil,,,
12959066,This article was written with support from National Institutes of Health Grant No. 1DP2EB022360-01 (principal investigator: J. Jensen).,1DP2EB022360-01,National Institutes of Health,J. Jensen,,,
2372718,"The author gratefully acknowledges: Robin Megill for valuable assistance in gathering and analyzing background literature; Gwen Chodur, Mark Olson, Katherine Stephenson, Paul Talalay, and Kristina Wade for ongoing support, enthusiasm, and encouragement in our past work with moringa; the Lewis B. and Dorothy Cullman Foundation for providing unrestricted research funds that have facilitated the preparation of this review and the author's work on antibiosis against H. pylori; NCI Grant # R01 CA93780 and funding from the American Institute for Cancer Research that helped to support work with moringa in the author's laboratory.",R01 CA93780,NCI;Dorothy Cullman Foundation,Robin Megill;Gwen Chodur;Mark Olson;Katherine Stephenson;Paul Talalay;Kristina Wade;Lewis B.,,,
14502013,"We thank C. Slaney, J. Garnham and C. McParland for technical assistance.",,,Slaney;J. Garnham;C. McParland,,,
14551334,"We are in debt with Eva Bucciarelli for generously sharing her time and analytical facilities at LEMAR (Brest, France) for DMSP analysis.",,,Eva Bucciarelli,,,LEMAR
8152644,"We are also thankful to Marcus Berliant, Shiri Alon-Eron, Christian Blatter and Ilan Nehama for their very helpful comments.",,,Marcus Berliant;Shiri Alon-Eron;Christian Blatter;Ilan Nehama,,,
8642198,We also thank Dr. Nanthakumar Srivilliputtur Subbiah for fruitful discussion.,,,Nanthakumar Srivilliputtur Subbiah,,,
7926977,Dr. Gubner was also supported by a Postdoctoral Training Grant from the National Institute on Drug Abuse (T32 DA007250).,T32 DA007250,National Institute on Drug Abuse;Postdoctoral Training Grant from the National Institute on Drug Abuse,Gubner,,,
2969800,This work was supported by the National Natural Science Foundation of China (31100741) and the Philosophy and Social Science Foundation of Shanghai (2012JJY002) to Ning Hao.,2012JJY002;31100741,Philosophy and Social Science Foundation of Shanghai;National Natural Science Foundation of China,Ning Hao,,,
3335884,"We would like to thank Glen Weyl, Jeffrey Church, three anonymous referees, and participants at APIOC 2017 for helpful comments.",,,Glen Weyl;Jeffrey Church,,,
1858553,We thank Panjin Guanghe Fisheries Co. Ltd for providing the shrimps.,,,,,Panjin Guanghe Fisheries Co. Ltd,
17779999,BoBcat current data are available at https://doi.org/10.5281/zenodo.1245634.,,,,,BoBcat,
15741953,"The cost of developing the NRT2Quit app that was used as prompt in this study was covered by a grant from the Global Research Awards for Nicotine Dependence (GRAND 2013) Program funded by Pfizer, of which the principal investigator was Prof Tobias Raupach.",,,Tobias Raupach,,Pfizer,NRT2Quit;Global Research Awards for Nicotine Dependence (GRAND 2013) Program
15143536,"The authors gratefully acknowledge CODESP (Port Authority of Santos), represented by the company's president Jose Alex Botelho de Oliva, for sponsoring this study and Mr. Geraldes from Zenith Consultores Maritimos for his valuable advices and practical experience which contributed significantly to the development of this work.",,,Jose Alex Botelho de Oliva;Geraldes,,CODESP (Port Authority of Santos);Zenith Consultores Maritimos,
5503208,"The population map of the study area was made using the LandScan 2013 (TM) High Resolution Global Population Data Set copyrighted by UT-Battelle, LLC, operator of Oak Ridge National Laboratory under Contract No. DE-AC05-00OR22725 with the United States Department of Energy.",DE-AC05-00OR22725,United States Department of Energy;Oak Ridge National Laboratory,,," UT-Battelle, LLC",LandScan 2013 (TM) High Resolution Global Population Data Set
17022431,"The 2014 R/V Sanna cruise received funding from EUROFLEETS2, a European Community - Research Infrastructure Action under the FP7 Capacities Specific Programme, grant agreement 14/1211168/B ORCA.",14/1211168/B ORCA,EUROFLEETS2;European Community - Research Infrastructure Action;FP7 Capacities Specific Programme,,,Sanna,
9644123,"Correspondence concerning this article should be addressed to Machteld Hoeve, Research Institute of Child Development and Education, University of Amsterdam, P.O. Box 15780, 1001 NG Amsterdam, The Netherlands; e-mail: m.hoeve@uva.nl.",,,,University of Amsterdam;Research Institute of Child Development and Education,Machteld Hoeve;P.O. Box,
16424239,The authors gratefully acknowledge the support of NVIDIA Corporation with the donation of the GeForce Titan X GPU used for this research.,,,,,NVIDIA Corporation ,
7645610,"It is also partly supported by a research contract between URI and Shenzhen Dapu Microelectronics Co., Ltd, Shenzhen Peacock Plan (KQTD2015091716453118).",KQTD2015091716453118,Shenzhen Peacock Plan,,URI,"Shenzhen Dapu Microelectronics Co., Ltd",
15285799,"This work was supported by Collaborative Research and Development Grant-Project 445451-12 from the Natural Sciences and Engineering Research Council of Canada and Trojan Technologies, with supplementary funding from the Strategic Cooperative Education Incentive Program of Nova Scotia and Trojan Technologies.",445451-12,Natural Sciences and Engineering Research Council of Canada;Strategic Cooperative Education Incentive Program of Nova Scotia,,,Trojan Technologies,
9886980,"We thank Debbie Hinkle, Steve Suttles, Laura Murray, and Steven Di Falco for help collecting samples; Viacheslav Lyubchich for guidance on statistical methods; Keith Williams and staff from NorthBay Adventure for field support; and two anonymous reviewers for constructive comments on an earlier version of the manuscript.",,,Debbie Hinkle;Steve Suttles;Laura Murray;Steven Di Falco;Viacheslav Lyubchich;Keith Williams,,NorthBay Adventure,
2838720,"We would like to thank the people at the Danish aquarium, Den Bla Planet, for their keeping the animals for us and their assistance in the experiments.",,,,,Den Bla Planet,
4935696,"This research was supported by the Oesterreichische Nationalbank, Anniversary Fund (Project No. 13042).",13042,,,,"Oesterreichische Nationalbank, Anniversary Fund",
3351627,"Sandia National Laboratories is a multimission laboratory managed and operated by National Technology and Engineering Solutions of Sandia, LLC, a wholly owned subsidiary of Honeywell International, Inc., for the U.S. Department of Energy's National Nuclear Security Administration under contract DE-NA0003525.",DE-NA0003525,U.S. Department of Energy's National Nuclear Security Administration,,,"National Technology and Engineering Solutions of Sandia, LLC;Sandia National Laboratories;Honeywell International, Inc.",
8170137,The work was largely completed through the National Center for Ecological Analysis and Synthesis (NCEAS) at the University of California Santa Barbara and Nautilus Impact Investing with support from the Gordon and Betty Moore Foundation as part of the State of Alaska's Salmon and People (SASAP and Data Task Force (DTF) Projects.,,Gordon and Betty Moore Foundation;State of Alaska's Salmon and People (SASAP and Data Task Force (DTF) Projects,,University of California Santa Barbara;National Center for Ecological Analysis and Synthesis (NCEAS),Nautilus Impact Investing,
8095743,We thank LetPub (www.letpub.com) for its linguistic assistance during the preparation of this manuscript.,,,,,LetPub,
1434237,"This study was supported by the Spanish Ministry of Economy and Competitiveness (Grant SEJ2011-28679), the Canarian Agency of Research, Innovation and Knowledge Society (NEUROCOG project), the Education Department of Cabildo Insular de Tenerife, and the European Regional Development Funds.",SEJ2011-28679,"Spanish Ministry of Economy and Competitiveness;Canarian Agency of Research, Innovation and Knowledge Society;Education Department of Cabildo Insular de Tenerife;European Regional Development Funds",,,Cabildo Insular de Tenerife,
18138943,The authors would like to thank the team at Speak Talk Communicate SL for their help preparing the manuscript and Gesco Consultores for advice on the survey.,,,,,Gesco Consultores;Speak Talk Communicate SL,
11637443,"For a full description of HD View SL, please see http://hdviewsl.codeplex.com/.",,,,,,HD View SL
17423160,This paper was presented in part at the 2015 IEEE International Symposium on Information Theory.,,,,,,IEEE International Symposium
10180838,"We are extremely grateful to all the families who took part in this study, the midwives for their help in recruiting them, and the whole ALSPAC team, which includes interviewers, computer and laboratory technicians, clerical workers, research scientists, volunteers, managers, receptionists and nurses.",,,,,,ALSPAC
18194483,This work was supported by the European Commission in the context of the H2020 FETHPC EXTRA project (#671653).,671653,European Commission,,,,H2020 FETHPC EXTRA
10377917,"This work was supported by a National Science Foundation (NSF) Graduate Research Fellowship [DGE1255832] to J.M.M-H., a Superior Teaching and Research Award from the Pennsylvania State University to C.R.B., and a NSF grant [BCS1025709] awarded to N.A.D.",DGE1255832;BCS1025709,National Science Foundation (NSF) Graduate Research Fellowship;NSF,,Pennsylvania State University,,Superior Teaching and Research Award
15824926,"We gratefully acknowledge comments by two anonymous referees, Marco Francesconi, and conference participants at the 31st Annual Conference of the European Society for Population Economics.",,European Society for Population Economics,Marco Francesconi,,,31st Annual Conference of the European Society for Population Economics
12612883,The UK Medical Research Council and the Wellcome Trust (Grant Ref: 102215/2/13/2) and the University of Bristol currently provide core support for ALSPAC.,102215/2/13/2,Wellcome Trust;UK Medical Research Council,,University of Bristol,,ALSPAC
11269636,"This work has been partially supported by the Basque Government (IT609-13, Elkartek BID3A), the Spanish Ministry of Economy and Competitiveness (TIN2013-41272-P), and the University-Society Project 15/19 (Basque Government and University of the Basque Country UPV/EHU).",IT609-13;TIN2013-41272-P;Elkartek BID3A;15/19,Basque Government;Spanish Ministry of Economy and Competitiveness,,University of the Basque Country UPV,,University-Society Project 15/19
5536495,"This work was supported by Grant-in-Aid for Scientific Research on Innovative Areas, ""Face perception and recognition"" from MEXT KAKENHI 23119731 and 26590183 to JK.",26590183;23119731,MEXT KAKENHI,,,,Grant-in-Aid for Scientific Research on Innovative Areas
7585229,This work was supported by the Liaison Committee between the Central Norwegian Regional Health Authority (RHA and the Norwegian University of Science and Technology (NTNU)) [9279]; The Research Council of Norway [196156].,196156;9279,Research Council of Norway;Central Norwegian Regional Health Authority;RHA,,Norwegian University of Science and Technology (NTNU),,Liaison Committee
9869813,"Nippon Foundation, Grant/Award Number: Nereus Programme.",,Nippon Foundation,,,,Nereus Programme
11637443,"We thank Ventana Medical Systems, Inc. (Tucson, AZ, USA), a member of the Roche Group, for the use of iScan Coreo AuTM whole slide imaging system, and HD View SL for the source code used to build our digital viewer.",,,,,"Ventana Medical Systems, Inc;Roche Group",iScan Coreo AuTM;HD View SL 
3801720,"This publication is a result of the Thousand Islands Expedition, September 2005, organized by the Research Centre for Oceanography (PPO-LIPI, Jakarta, Indonesia) and Naturalis Biodiversity Center (Leiden, the Netherlands).",,"Research Centre for Oceanography (PPO-LIPI, Jakarta, Indonesia);Naturalis Biodiversity Center (Leiden, the Netherlands)",,,,Thousand Islands Expedition
10391365,Funded in part by European Union's Horizon 2020 research and innovation programme under the Marie Sklodowska-Curie grant agreement No 690941 (project BIRDS).,690941,European Union's Horizon 2020 research and innovation programme under the Marie Sklodowska-Curie,,,,project BIRDS
10660273,We are also grateful to the Massaneda Garden for allowing access to the study site during the experiments.,,,,,,Massaneda Garden
10960134,"We also thank Christian Dustmann, Francesco Fasani, Simon Hix, Valentino Larcinese, Italo Lopez Garcia, Tommaso Nannicini, Jan Stuhler and Uta Schoenberg for their useful comments, as well as seminar participants at Bocconi University, CReAM, Erasmus School of Economics, Institute Autonomo Tecnologico de Mexico, LSE, Navarra Center for International Development, NIESR, University of Nottingham, Universidad Carlos III de Madrid, Universidad de Los Andes, Universidad del Rosario and UCL We are particularly grateful to Jim Snyder, Riccardo Puglisi and The Pavia Observatory for sharing with us data about the content of prime-time news programs of Italian TV channels.",,,Christian Dustmann;Francesco Fasani;Simon Hix;Valentino Larcinese;Italo Lopez Garcia;Tommaso Nannicini;Jan Stuhler;Uta Schoenberg;Jim Snyder;Riccardo Puglisi,Bocconi University; Erasmus School of Economics;Institute Autonomo Tecnologico de Mexico;University of Nottingham;Universidad Carlos III de Madrid;Universidad de Los Andes;Universidad del Rosario;UCL,,CReAM;LSE;Navarra Center for International Development;NIESR
5295572,"This work was carried out under the grant of The Scientific and Technological Research Council of Turkey (Project No. 115E469, Identification of Multiword Expressions in Turkish Texts).",115E469,Scientific and Technological Research Council of Turkey,,,,Identification of Multiword Expressions in Turkish Texts
1842413,"The authors would like to thank Beatriz Beldarrain, Deniz Kukul, Marivi Lucero and Xiker Salaberria for their help during larvae sampling and sorting, the crew of the Ramon Margalef RV for technical assistance during cruise, Ruairi Gallagher for proof reading the manuscript and two anonymous reviewers for helpful comments.",,,Beatriz Beldarrain;Deniz Kukul;Marivi Lucero;Xiker Salaberria;Ruairi Gallagher,,,Ramon Margalef RV;
5425249,"This work was part of the NEMO-project (12208005) and funded by Programme for the Future - Economy, Schleswig-Holstein-European Regional Development Fund (ERDF).",12208005,"Programme for the Future - Economy, Schleswig-Holstein-European Regional Development Fund (ERDF)",,,,NEMO-project
10960134,"Finally, we thank Nicola Polli at MCS Consultancy for the help provided in gathering Auditel data on TV viewing shares.",,,Nicola Polli,,,MCS Consultancy
10192153,This research was supported by the National Science Foundation (SES-1154739) and was approved by the University of Pittsburgh Institutional Review Board under protocol PRO14060001.,SES-1154739,National Science Foundation,,University of Pittsburgh Institutional Review Board,,PRO14060001
10366510,"This work was supported by the National Natural Science Foundation of China (Y410041104) and Special Fund program for strategic technology, Chinese Academy of Sciences, China (No. XDA06010701).",Y410041104;XDA06010701,National Natural Science Foundation of China,,"Chinese Academy of Sciences, China",,Special Fund program for strategic technology
14464506,"NCEP-DOE Reanalysis 2 data was provided by the NOAA/OAR/ESRL PSD, Boulder, Colorado, USA (http://www.esrl.noaa.gov/psd/).",,,,,,"NCEP-DOE Reanalysis 2;NOAA/OAR/ESRL PSD, Boulder, Colorado, USA"
