FUND,freq,MISC,freq.1,UNI,freq.2,COR,freq.3,IND,freq.4
Economic and Social Research Council (ESRC),124.0,Optimus Study,13.0,Michigan State University,57.0,Oesterreichische Nationalbank (Anniversary Fund,4.0,Philippe Aghion,18
British Academy,120.0,Longitudinal Study of Australian Children,13.0,Hong Kong Polytechnic University,56.0,Compagnia di San Paolo,4.0,Eli Lilly,18
Canadian Institutes of Health Research (CIHR),120.0,NIOSH,13.0,Purdue University,56.0,Regione Autonoma della Sardegna,4.0,Shakeeb Khan,18
European Research Council (ERC),119.0,IAB,13.0,Boston University,55.0,"ATN Data and Operations Center at Westat, Inc.",4.0,Arthur Lewbel,18
National Social Science Foundation of China,118.0,NHS,13.0,University of Hong Kong,54.0,Bayer Schering Pharma,4.0,Bruce Hansen,18
Ford Foundation,117.0,Ontario HIV Treatment Network,13.0,La Trobe University,54.0,Telecom Italia,4.0,Jushan Bai,18
National Science Foundation Graduate Research Fellowship,116.0,HS&DR programme,13.0,Ohio State University,54.0,Instituut Gak,4.0,Frank Diebold,18
UK Economic and Social Research Council,116.0,Economic History Association,13.0,University of Groningen,52.0,London City Airport,4.0,Herman van Dijk,18
European Social Fund,113.0,CSO,12.0,Monash University,52.0,NSM,4.0,Peter Bearman,17
U.S. Department of Justice,112.0,Federal Reserve System,12.0,School of Social Work,52.0,Parkerville Children and Youth Care Inc.,4.0,Peter Robinson,17
Medical Research Council,112.0,UNU-WIDER,12.0,University of Oslo,52.0,Nichiryoku Co. Ltd.,4.0,Thierry Magnac,17
UK Medical Research Council,109.0,MIDUS,12.0,Emory University,51.0,Desjardins Insurance,4.0,Leandro Prados de la Escosura,17
Czech Science Foundation,107.0,Senior Investigator Award in Ethics and Society,12.0,Arizona State University,51.0,Universita del Piemonte Orientale,4.0,Brian Powell,17
Netherlands Organization for Scientific Research (NWO),107.0,2015 Econometric Society World Congress,12.0,Cardiff University,50.0,Universal Shell Programming Laboratory Ltd,4.0,Jaime Reis,17
Spencer Foundation,106.0,Australian Research Council,12.0,McMaster University,50.0,Rockefeller Archive Center,4.0,Alexandra Killewald,17
Netherlands Organisation for Scientific Research (NWO),105.0,SSHRC,12.0,Vanderbilt University,50.0,Mobile Life Vinn-Excellence Centre,4.0,Adrian Pagan,17
Japan Society for the Promotion of Science,105.0,MIAESR,12.0,McGill University,49.0,Partners Occupational Health Services,4.0,Ran Abramitzky,16
Social Sciences and Humanities Research Council of Canada (SSHRC),104.0,South European Society and Politics,12.0,University of Macau,49.0,Lastel Shin-Yokohama,4.0,Marcel Nutz,16
National Health and Medical Research Council,103.0,ENDCARE,12.0,National Research University Higher School of Economics,49.0,Nokia,4.0,Robert Remien,16
Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),103.0,Fragile Families and Child Wellbeing,12.0,Australian National University,48.0,"World Vision, Inc",4.0,Serena Ng,16
Netherlands Organization for Scientific Research,103.0,Financial Valuation and Risk Management,12.0,University of Southampton,48.0,Coca Cola Company,4.0,Timothy Guinnane,16
DFG,100.0,ANROWS,12.0,Fundamental Research Funds for the Central Universities,48.0,Resthaven Incorporated,4.0,Enrique Sentana,16
American Cancer Society,97.0,SSCR,12.0,UC Berkeley,47.0,AG,4.0,Robert H. Remien,16
EPSRC,97.0,Theory and Society,12.0,ETH Zurich,47.0,RachelHatcher,4.0,Lauren J. Breen,16
Bill and Melinda Gates Foundation,95.0,NWO,12.0,University of York,46.0,Fundacion Bancaja e Ivie,4.0,David Smilde,16
Arts and Humanities Research Council,94.0,HILDA,12.0,University of New South Wales,46.0,Harris Interactive,4.0,Jonathan Wright,16
"Swedish Research Council for Health, Working Life and Welfare",94.0,Social Science History Association,11.0,University of Pittsburgh,46.0,Bloomberg,4.0,Ruodu Wang,16
Danish National Research Foundation,94.0,Crown Copyright,11.0,University of Nottingham,45.0,GE Healthcare,4.0,James Fenske,16
Australian Government,93.0,WLS,11.0,Boston College,45.0,Deutsche Bundesbank,4.0,Viviana Zelizer,16
Natural Science Foundation of China,91.0,Growing Up in Australia,11.0,University of London,45.0,"Westat, Inc.",4.0,Yu,16
SSHRC,88.0,Children's Bureau,11.0,Oxford University,44.0,"Exponent, Inc.",4.0,Marcus Duwell,16
"Research Grants Council of the Hong Kong Special Administrative Region, China",88.0,Project Grant competition,11.0,University of Birmingham,44.0,Intesa Sanpaolo Innovation Center,4.0,Viktor Todorov,15
NSFC,86.0,TUBITAK,11.0,Xiamen University,44.0,Amazon,4.0,Asim Khwaja,15
Centers for Disease Control and Prevention,86.0,FaHCSIA,11.0,University of Amsterdam,44.0,AG Insurance,4.0,Luc Bauwens,15
Russell Sage Foundation,86.0,HILDA Survey,11.0,University of Notre Dame,44.0,"Gilead Sciences, Inc.",4.0,Daron Acemoglu,15
Children's Bureau,85.0,ELSA,11.0,University of Queensland,44.0,Netspar,4.0,Christopher Hulleman,15
Dutch Cancer Society,85.0,R&D&I capabilities,10.0,Population Research Center,44.0,Lyra Taylor Fund,4.0,Rachel Cooper,15
Ministry of Education of the Republic of Korea,85.0,Project's Advisory Group,10.0,University of Kansas,44.0,Janssen Pharmaceutical Companies,4.0,Gordon Hanson,15
National Institute for Health Research (NIHR),85.0,Communaute francaise de Belgique,10.0,University of Connecticut,43.0,JHPPL,4.0,Jason Beckfield,15
National Institute on Drug Abuse (NIDA),83.0,SHARELIFE,10.0,Tilburg University,43.0,CONSOL Energy,4.0,Yu Xie,15
Spanish Ministry of Science and Innovation,83.0,GoWell,10.0,University of Vienna,43.0,Abriendo Caminos Promotora Project Group,4.0,Claudia Goldin,15
National Research Foundation of Korea (NRF),82.0,U.S. Census Bureau,10.0,Stanford,42.0,Wyeth,4.0,Cheng Hsiao,15
National Science Foundation of China,82.0,IIES,10.0,University of Ottawa,42.0,"Kid Risk, Inc.",4.0,Chris Hansen,14
National Institute of Mental Health (NIMH),81.0,DSS,10.0,MIT,42.0,Stata,4.0,Wendy Rogers,14
"Ministry of Science and Technology, Taiwan",79.0,Ontario Graduate Scholarship program,10.0,School of Public Health,40.0,Wise Group,4.0,Domenico Giannone,14
Population Research Center,78.0,ESRC,10.0,University of Warwick,40.0,World Vision International,4.0,Jeffrey T. Parsons,14
National Institute for Health Research,77.0,Socio-Legal Studies Association,10.0,University of Waterloo,39.0,Novicare,4.0,Mark Watson,14
German Federal Ministry of Education and Research,76.0,Sociological Forum,10.0,Department of Psychology,39.0,Murdoch,4.0,Danny Osborne,14
Agency for Healthcare Research and Quality,76.0,NIDDK,10.0,Simon Fraser University,39.0,Achmea SZ,4.0,Paolo Guasoni,14
European Union's Horizon 2020 research and innovation programme,76.0,HBSC,10.0,University of Essex,39.0,MSD,4.0,Jenny,14
Bill & Melinda Gates Foundation,76.0,Liaison Committee,10.0,University of Otago,39.0,"Tuskegee Airmen, Inc.",4.0,Guido Imbens,14
Nuffield Foundation,74.0,HKSAR,10.0,Renmin University of China,38.0,Safety-Kleen Corporation,4.0,Peter C.B. Phillips,14
Portuguese Foundation for Science and Technology,74.0,Health Care in the Round,10.0,University of Illinois at Urbana-Champaign,38.0,MetroHealth System,3.0,Mathieu Rosenbaum,14
MacArthur Foundation,72.0,HCRA,10.0,Texas A&M University,37.0,Kids Company,3.0,Colleen Grogan,14
National Institute of Drug Abuse,70.0,MISURA,10.0,University of Virginia,37.0,Dartmouth-Hitchcock Medical Center,3.0,Phil Reny,14
NIAAA,70.0,Nuclear Experts Talks),10.0,University of Arizona,37.0,Network Rail,3.0,Paul Embrechts,14
Australian Research Council Future Fellowship,70.0,Investissements d'avenir,10.0,Harvard Business School,37.0,Triple P International,3.0,Jean Jacod,14
FEDER,70.0,Casey Family Programs,10.0,University of Helsinki,36.0,Westat,3.0,Peter C. B. Phillips,14
National Institute of Justice,68.0,Department of Veterans Affairs,10.0,Aarhus University,36.0,Piramal,3.0,M.,14
William T. Grant Foundation,67.0,MLSFH,9.0,Johns Hopkins University,36.0,Fondation Brocher,3.0,John Gal,14
CNPq,66.0,NOVA,9.0,KU Leuven,36.0,P.O. Box,3.0,Jean-Marie Dufour,14
China Scholarship Council,66.0,Kansas Intensive Permanency Project (KIPP),9.0,"University of California, Irvine",35.0,Formazione Quadri Terzo Settore,3.0,Jerry Hausman,14
Australian Government Research Training Program Scholarship,65.0,Study 1,9.0,Curtin University,35.0,Concern Worldwide,3.0,Peter Wakker,14
Australian Government Department of Social Services (DSS),64.0,CILS4EU,9.0,UC Davis,35.0,FasterCures,3.0,Monique Jeanblanc,14
USAID,64.0,Fundamental Research Funds for the Central Universities,9.0,Stockholm University,35.0,Laboratorio RicercAzione,3.0,Kelly Raley,14
National Science Foundation (NSF),63.0,SHARE Waves 1,9.0,Harvard,35.0,Fogarty International Center,3.0,Anindya Banerjee,14
Population Studies Center,63.0,EFPIA,9.0,University of Mannheim,35.0,Amgen,3.0,George Tauchen,14
US National Institutes of Health,63.0,CREATE,9.0,Durham University,34.0,PSA Group,3.0,Joris Pinkse,14
China Postdoctoral Science Foundation,62.0,Tier 1 Canada Research Chair in Inner City Medicine,9.0,Tel Aviv University,34.0,Universita degli Studi di Padova,3.0,Gordon E. Willmot,14
Ministry of Education,62.0,Lagrange Project,9.0,Georgetown University,34.0,Philips Company Archives,3.0,Matias Cattaneo,14
National Social Science Fund of China,61.0,CHESS,9.0,Princeton,34.0,Alta Environmental Center,3.0,Ka Chun Cheung,14
Ministerio de Economia y Competitividad,61.0,PsyD,9.0,Macquarie University,34.0,Avvenire,3.0,Andrew Harvey,14
European Union's Seventh Framework Programme (FP7/2007-2013),61.0,ICPSR,9.0,UCL,34.0,Teva Pharmaceuticals Industries,3.0,Bernard Harris,14
Eunice Kennedy Shriver National Institute of Child Health & Human Development,61.0,Law and History Review,9.0,University of Alberta,34.0,Bombardier Inc.,3.0,Dennis Kristensen,14
National Institute on Minority Health and Health Disparities,60.0,NZAVS,9.0,Penn State University,34.0,Making Space Ltd,3.0,Kristin Turney,14
Austrian Science Fund (FWF),60.0,CREI,9.0,Washington University in St. Louis,34.0,"NG Biomed, Ltd.",3.0,Badi Baltagi,14
NSERC,60.0,AERA Grants Program,9.0,University of Cape Town,33.0,Shire,3.0,Guido Kuersteiner,14
European Regional Development Fund,60.0,ALTIMA,9.0,Population Research Institute,33.0,Childrens Hospitals,3.0,Andrew Patton,14
European Union's Seventh Framework Programme,60.0,Health Technology Assessment,9.0,University of Southern Denmark,33.0,Riksbankens Jubileumsfond,3.0,Katelyn MacDougald,14
Social Science and Humanities Research Council of Canada,60.0,IARPA,9.0,George Washington University,33.0,Persistence Plus,3.0,Price Fishback,13
NIA,59.0,PNCDI III,9.0,University of Wisconsin,33.0,Novartis Pharmaceuticals,3.0,David Grissmer,13
Finnish Cultural Foundation,58.0,Discovery Early Career Research Award,9.0,University of Chicago Booth School of Business,33.0,Plateforme Citoyenne,3.0,Gary Solon,13
National Institute of Health,58.0,DEMETRIQ,9.0,Carnegie Mellon University,32.0,Intel,3.0,David Card,13
"National Science Centre, Poland",58.0,NORFACE,9.0,National Research University Higher School of Economics (HSE),32.0,Sandia National Laboratories,3.0,Jan Wallanders,13
Deutsche Forschungsgemeinschaft (DFG),58.0,Policy Research Programme in the Department of Health,9.0,University of Sussex,32.0,Philips Australia,3.0,Elaine Howard Ecklund,13
Fogarty International Center,57.0,Excellence Initiative,9.0,Hebrew University of Jerusalem,31.0,"Nike, Inc",3.0,Theo Sandfort,13
National Center for Research Resources,57.0,New Cultural Contradictions in Advanced Capitalist Societies,8.0,National Human Genome Research Institute,31.0,Messaggero,3.0,Gail Henderson,13
U.S. National Science Foundation,57.0,NorLAG,8.0,Rice University,31.0,Veterans Affairs Medical Center,3.0,Kris Mitchener,13
Canada Research Chairs program,56.0,Open Science Framework,8.0,Yale,31.0,Banco Santander,3.0,Kevin D. Hoover,13
"National Heart, Lung, and Blood Institute",56.0,Social Forces,8.0,University of Barcelona,31.0,Digital Robust Designs,3.0,Hoyt Bleakley,13
Natural Sciences and Engineering Research Council of Canada (NSERC),56.0,NICTA,8.0,Oxford,31.0,Mentorn Media,3.0,William Collins,13
National Institute on Alcohol Abuse and Alcoholism (NIAAA),56.0,TRUMP,8.0,University of Colorado,30.0,Siemens,3.0,Huang,13
Social Science Research Council,55.0,EUROMOD,8.0,Northwestern,30.0,"Resilient Dry Land Systems, ICRISAT-Patancheru",3.0,Elie Tamer,13
Department of Health,55.0,Panel Study of Income Dynamics,8.0,Utrecht University,30.0,Google,3.0,Jan Luiten van Zanden,13
Brocher Foundation,54.0,NORFACE: The Welfare State Futures Programme,8.0,NYU,30.0,"TEPHINET, Inc.",3.0,Eric Schneider,13
Engineering and Physical Sciences Research Council,54.0,2014 NBER Summer Institute,8.0,University of Kentucky,30.0,Corporacion Humanas,3.0,Angus Dawson,13
"National Institute of Justice, Office of Justice Programs",54.0,Board of Governors of the Federal Reserve System,8.0,Research Funds of Renmin University of China,30.0,Corporate Risk Associates Ltd.,3.0,J.,13
National Institute of Nursing Research,54.0,WHO,8.0,City University of Hong Kong,30.0,General Motors,3.0,Jeffrey Williamson,13
Social Sciences and Humanities Research Council (SSHRC),53.0,CERGE-EI,8.0,Humboldt-Universitat zu Berlin,30.0,UK Data Service,3.0,Brian Mustanski,13
Wenner-Gren Foundation,53.0,Medical Anthropology Quarterly,8.0,The University of Texas,30.0,Schizophrenia Research Bank,3.0,Peter Lindert,13
Government of the Russian Federation,53.0,Policy Research Programme,8.0,Fudan University,29.0,Global Participacoes em Energia,3.0,Rong Chen,13
Centers for Disease Control and Prevention (CDC),52.0,Census Bureau,8.0,Kyoto University,29.0,Alberta Innovates Health Solutions,3.0,Fabio Canova,12
Canadian Institutes for Health Research,51.0,Early Researcher Award,8.0,Deakin University,29.0,FAPEMIG,3.0,Bob Simpson,12
Tom Hedelius Foundation,51.0,SHARE-PREP,8.0,University of Auckland,29.0,Fleggaard GmbH,3.0,Andrew Heathcote,12
Kone Foundation,51.0,Project MIME,8.0,Queen's University Belfast,28.0,Eurostat,3.0,Dan Bogart,12
FCT,51.0,WSIB,8.0,Syracuse University,28.0,"Hologic, Inc",3.0,Ms.,12
NCI,50.0,SOFI,8.0,Rutgers University,28.0,Norwegian Computing Center,3.0,Sharon Wright,12
Italian Ministry of Education,50.0,CORE,8.0,University of Missouri,28.0,IRI,2.0,Silvia Goncalves,12
National Research Foundation of South Africa,50.0,China Exchange Programme,8.0,Cambridge,28.0,Audi Volkswagen,2.0,Thomas Piketty,12
National Data Archive on Child Abuse and Neglect,50.0,TSE,8.0,University of Sheffield,28.0,Kaha Medical Centre,2.0,Frank Kleibergen,12
French National Research Agency (ANR),50.0,NBER,8.0,Lancaster University,28.0,Mars Petcare,2.0,Clare Bambra,12
Department of Health and Human Services,49.0,What Shall We Have for Tea? Toward a New Discourse of Food Ethics in Contemporary Australia,8.0,Stellenbosch University,27.0,"U-Haul International, Inc",2.0,Manuel Arellano,12
National Human Genome Research Institute,49.0,Successful Adolescent Development Among Youth in High-Risk Settings,8.0,Copenhagen Business School,27.0,Lloyds Banking Group Archives,2.0,R. Wang,12
Jacobs Foundation,49.0,DCF,8.0,Berkeley,27.0,UCB Pharma,2.0,Andrew Shryock,12
German Ministry of Education and Research,48.0,CLAHRC SY,8.0,Maastricht University,27.0,Janssen-Cilag Pty Ltd,2.0,Peter Boswijk,12
Netherlands Organisation for Scientific Research,48.0,COST Action IC1205 on Computational Social Choice,8.0,City University of New York,27.0,Chinese Testing International Co. Ltd,2.0,Chris Sims,12
World Bank,47.0,Open Access Publishing,8.0,University of Rochester,27.0,PSIDHelp,2.0,Westerlund,12
Canada Research Chairs Program,47.0,Human Dignity in the Context of Bioethics-China,8.0,University of Utah,27.0,Allergan,2.0,David Kane,12
Alfred P. Sloan Foundation,47.0,Statistics Canada,8.0,Imperial College London,27.0,Hope Forward Inc.,2.0,Jack Porter,12
United States Government,46.0,Elevate Postdoctoral fellowship,8.0,University of Iowa,27.0,Nederlandsche Bank,2.0,Barbara Rossi,12
ZonMw,46.0,IDoC,8.0,Indiana University,27.0,Pork Limited,2.0,Tim Bollerslev,12
Fundacao para a Ciencia e a Tecnologia,45.0,Program of Excellence,8.0,University of Malaya,27.0,Healthy Families Provider Network,2.0,Sara McLanahan,12
Eunice Kennedy Shriver National Institute of Child Health & Human Development of the National Institutes of Health,44.0,ECPA,8.0,Center for Studies in Demography & Ecology,27.0,Bobo Dioulasso Day Care Unit,2.0,Adam Rosen,12
European Union's Seventh Framework Programme (FP7/2007-2013)/ERC,44.0,program Investissements d'Avenir,8.0,Paris School of Economics,27.0,"WRMA, Inc",2.0,Walter Schachermayer,12
National Institute of Allergy and Infectious Diseases (NIAID),44.0,LABEX CORTEX,8.0,University of Konstanz,27.0,Thomson ISI,2.0,Yuichi Kitamura,12
NHMRC,44.0,NORFACE Welfare State Futures,8.0,University of Denver,26.0,Unisa,2.0,Joel Horowitz,12
Michael Smith Foundation for Health Research,43.0,DHHS,8.0,School of Social Development and Public Policy at Fudan University,26.0,Reynolds American Inc.,2.0,Michael Lechner,12
Spanish Ministry of Education,43.0,Fragile Families Study,8.0,Ann Arbor,26.0,Amgen Pharmaceuticals,2.0,Todd Clark,12
Research Foundation Flanders (FWO),43.0,FIC,8.0,University of Newcastle,26.0,Mylan Laboratories Limited,2.0,Liu,12
NWO,43.0,NIDILRR,8.0,University of Nebraska-Lincoln,26.0,"Templeton World Charity Foundation, Inc",2.0,Yang,12
Portuguese Foundation for Science and Technology (FCT),43.0,Religious Research Association,8.0,Toulouse School of Economics,26.0,Oni Blackstock,2.0,Fritz Thyssen Stiftung,12
Templeton World Charity Foundation,43.0,Graduate Research Fellowship,8.0,Bowling Green State University,26.0,Procter & Gamble Corporation,2.0,Roger Koenker,12
Agence Nationale de la Recherche,43.0,Sociology of Health & Illness,8.0,Queen's University,25.0,Consorzio di Bonifica di Capitanata,2.0,David Landriault,12
U.S. National Institute on Aging,43.0,LOGG,8.0,Peking University,25.0,NUIG & Intel,2.0,Dacheng Xiu,12
Cancer Research UK,43.0,INSEAD,8.0,University of South Australia,25.0,Medic Engineering Co. Ltd.,2.0,Bettina Bock,12
FP7,42.0,National Epidemiologic Survey on Alcohol and Related Conditions,7.0,Faculty of Medicine,25.0,GVC Holdings,2.0,Per Mykland,12
Ministry of Science and Technology of Taiwan,42.0,Labex MME-DII,7.0,Griffith University,25.0,Liberty Mutual Insurance,2.0,Jean-Charles Rochet,12
Riksbankens Jubileumsfond,42.0,II International Workshop in Practical Ethics: Bioethics and Human Enhancement,7.0,Bocconi University,25.0,Accorda,2.0,Vincanne Adams,12
Danish Council for Independent Research,41.0,Discovery Early Career Researcher Award,7.0,Department of Anthropology,25.0,Himalaya Drug Company,2.0,Eric Cheung,12
Department of Veterans Affairs,41.0,FNRS,7.0,Singapore Management University,25.0,Michael's Hospital,2.0,Emili Tortosa-Ausina,12
Generalitat de Catalunya,41.0,UK Clinical Research Collaboration,7.0,Linkoping University,25.0,Compagnia San Paolo,2.0,Michael,12
U.S. Government,41.0,Southern Economic Association,7.0,Brandeis University,25.0,JGG,2.0,James MacKinnon,12
Research Foundation Flanders,41.0,StemBANCC,7.0,Tsinghua University,24.0,UniCredit S.p.A.,2.0,Richard Blundell,12
Public Health Agency of Canada,40.0,Understanding Society,7.0,University of Manitoba,24.0,Helsefonden,2.0,Katrien Antonio,12
Australian Research Council Discovery Early Career Researcher Award,40.0,Global Health Bioethics Network,7.0,Duke Endowment,24.0,"National All-Jersey, Inc",2.0,In Choi,12
Basque Government,40.0,FRQSC,7.0,Duke,24.0,FrontLine Services,2.0,Peter Carr,12
National Cancer Institute of the National Institutes of Health,40.0,Community Advisory Board,7.0,Oxford-Man Institute of Quantitative Finance,24.0,Sleepy Hollow,2.0,Ivan Fernandez-Val,12
European Central Bank,40.0,NIHR SSCR,7.0,"University of California, Los Angeles",24.0,Online Buddies Inc.,2.0,Annette Lareau,12
CREATES,40.0,Army Research Laboratory,7.0,Graduate School,24.0,Boeing Corp,2.0,Eric Grodsky,12
Australian Research Council Discovery Grant,39.0,Statistics Act,7.0,Beijing Normal University,24.0,Consultores Lda,2.0,Hashem Pesaran,12
Russian Academic Excellence Project,39.0,FAPERJ,7.0,Center for Family and Demographic Research,24.0,Insurance Australia Group Ltd.,2.0,C. Bernard,12
NORFACE,39.0,Youth Development Study,7.0,Sociology Department,24.0,Aristocrat Leisure Industries,2.0,Johannes Muhle-Karbe,12
U.S. National Institutes of Health,39.0,Uses and Abuses of Biology,7.0,Wallenberg Academy Fellowship,24.0,Soroptimist International,2.0,Debra Umberson,12
"Household, Income and Labour Dynamics in Australia (HILDA) Survey",39.0,MMPI-2-RF,7.0,University of Cologne,23.0,"Sampling International, Inc.",2.0,Ewout Frankema,12
Volkswagen Foundation,38.0,American Anthropological Association,7.0,Institute for Social Research,23.0,Stichting Kinderpostzegels,2.0,Angelica Sanchez,12
Basic Science Research Program,38.0,NIDA,7.0,University of Illinois at Chicago,23.0,Network Rail Ltd.,2.0,Robert Bosch Stiftung,12
President's Emergency Plan for AIDS Relief (PEPFAR),38.0,ESRC-DFID,7.0,Chapel Hill,23.0,SmartLab,2.0,Rama Cont,12
CIHR,38.0,AHRQ,7.0,Loughborough University,23.0,FIM,2.0,Frank Riedel,12
German Academic Exchange Service (DAAD),38.0,Professional Staff Congress,7.0,University of Calgary,23.0,TNS Infratest Sozialforschung,2.0,Shyon Baumann,12
