index,id,txt,GRNB,FUND,IND,UNI,COR,MISC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"16,102982,""We are grateful to Chris Wilson, Neal Williamson, and Annette Dogherty for providing the temperature data from the western Gulf of Alaska region."",,,Chris Wilson";Neal Williamson;Annette Dogherty,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17,102982,Two anonymous reviewers and the editor provided valuable feedback.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18,102982,""We acknowledge support from the NSF SEES Research Coordination Network, Grant 1140207 """"Sustainability of Marine Renewable Resources in Subarctic Systems Under Incumbent Environmental Variability and Human Exploitation."""""",1140207,NSF SEES Research Coordination Network,,,,Sustainability of Marine Renewable Resources in Subarctic Systems Under Incumbent Environmental Variability and Human Exploitation";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19,133198,J. C. A. is currently funded by NIMH F31MH100995.,F31MH100995,NIMH,J. C. A.,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"20,133198,""For the remaining authors, none were declared."",,,,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"21,137459,""This work was supported by the US Department of Agriculture National Institute of Food and Agriculture, Hatch Project 1011204, and the Nebraska Agricultural Experiment Station."",1011204,US Department of Agriculture National Institute of Food and Agriculture,,Nebraska Agricultural Experiment Station,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22,137459,The authors wish to thank all of the providers who participated in this study and the advisory committee for providing feedback on the survey.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"23,137459,""This committee included Mindy Anderson Knott, Alian Kasabian, Holly Hatton-Bowers, Brent McBride, Lindsey Witt-Swanson, Zainab Rida, Holly Dingman, Christina Burger, Emily Hulse, Suzie Goodell, and Christopher Gustafson."",,,Mindy Anderson Knott";Alian Kasabian;Holly Hatton-Bowers;Brent McBride;Lindsey Witt-Swanson;Zainab Rida;Holly Dingman;Christina Burger;Emily Hulse;Suzie Goodell;Christopher Gustafson,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"24,143122,""This research was supported by National Institute of Child Health and Human Development Grant R01 HD062226, awarded to authors DiLillo (Principal Investigator) and Gratz and Messman-Moore (Co-Investigators)."",R01 HD062226,National Institute of Child Health and Human Development Grant,DiLillo";Gratz;Messman-Moore,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25,143660,This article was supported from the project GAJU 053/2016/S.,053/2016/S,project GAJU,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"26,146528,""This work was supported in part by the Cornell University NSF-IGERT program in Biogeochemistry and Environmental Biocomplexity, the NSF Microbial Observatories Program, grant number [MCB-0447586], and the Soil Processes Program of the National Research Initiative of the USDA Cooperative State Research, Education and Extension Service, grant number [2005-35107-15266]."",2005-35107-15266";"MCB-0447586,""USDA Cooperative State Research, Education and Extension Service";"NSF "",, Cornell University NSF-IGERT,,Microbial Observatories Program";Soil Processes Program;National Research Initiative;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"27,155493,""This research was supported by the National Natural Science Foundation of China (61503005), NCUT """"The Belt and Road"""" Talent Training Base Project, NCUT """"Yuyou"""" Project, the MSIT (Ministry of Science and ICT), Korea, under the ITRC (Information Technology Research Center) support program (IITP-2018-2013-1-00684) supervised by the IITP (Institute for Information & communications Technology Promotion) and by Beijing New Star Project of Interdisciplinary Science and Technology (XXJC201709)."",IITP-2018-2013-1-00684";XXJC201709;"61503005,""MSIT (Ministry of Science and ICT), Korea";ITRC (Information Technology Research Center);Beijing New Star Project of Interdisciplinary Science and Technology;National Natural Science Foundation of China;"IITP (Institute for Information & communications Technology Promotion)"",,NCUT,,""The Belt and Road"""" Talent Training Base Project";"Yuyou""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"28,167286,""This research was supported by Innovate UK grant 101804, EPSRC grant EP/K037102/1 and through a Faculty of Engineering and the Environment funded New Frontiers Fellowship."",EP/K037102/1";101804,EPSRC;Innovate UK grant,,Faculty of Engineering and the Environment,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"29,217739,""The authors also acknowledge support from VLSI Design and Education Center (VDEC), the University of Tokyo, in collaboration with Synopsys, Inc."",,,,University of Tokyo";"VLSI Design and Education Center (VDEC),""Synopsys, Inc"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30,217739,This work was partially supported by JST ACT-I JPMJPR16UM.,JPMJPR16UM,JST ACT-I,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"31,222640,""This research is supported by the National Natural Science Foundation of China (Nos. 61373109, 61003127, 61273303 and 61440016), State Key Laboratory of Software Engineering (SKLSE2012-09-31) and the Natural Science Foundation of Hubei Provincial of China (2014CFB247)."",2014CFB247";61273303;61003127;61373109;61440016;SKLSE2012-09-31,Natural Science Foundation of Hubei Provincial of China;National Natural Science Foundation of China;State Key Laboratory of Software Engineering,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32,251750,This chapter benefits from the research support provided by the National Science Foundation (SES-1346750) and the Social Sciences and Humanities Research Council of Canada (File No: 895-2012-1021).,SES-1346750;895-2012-1021,National Science Foundation;Social Sciences and Humanities Research Council of Canada,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33,251750,We thank Ito Peng for her support of this project.,,,Ito Peng,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34,251750,We also thank Minwoo Jung for research assistance.,,,Minwoo Jung,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"35,350020,""The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This work was supported by the State Key Laboratory of Rail Traffic Control and Safety under Grant No. RCS2016ZT015, the National High Technology Research and Development Program of China (863 Program) under Grant No. 2015AA016005, the Fundamental Research Funds for the Central Universities under Grant No. 2017JBM312, and the National Natural Science Foundation of China-Outstanding Youth Foundation under Grant No. 61725101."",2017JBM312";RCS2016ZT015;2015AA016005;61725101,Fundamental Research Funds for the Central Universities;State Key Laboratory of Rail Traffic Control and Safety;National High Technology Research and Development Program of China;National Natural Science Foundation of China-Outstanding Youth Foundation,,,,863 Program;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"36,381867,""The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This study was supported in part by a Grant-in-Aid for Japanese Scientific Research (No. 26380868) from the Ministry of Education, Culture, Sports, Science, and Technology to Yuki Shimizu."",26380868,""Ministry of Education, Culture, Sports, Science, and Technology"",Yuki Shimizu,,,Grant-in-Aid for Japanese Scientific Research";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37,435705,This work was supported by State Key Lab of Ocean Engineering Shanghai Jiao Tong University and financially supported by China National Scientific and Technology Major Project (Grant No. 2016ZX05028-006-009); all of these supports are gratefully acknowledged by the authors.,2016ZX05028-006-009,China National Scientific and Technology Major Project,,State Key Lab of Ocean Engineering Shanghai Jiao Tong University ,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"38,455582,""This study was partially supported by grants from the National Key Research and Development Plan (2017YFB082800), the National Natural Science Foundation of China (Grant Nos. 31771225, 31400886 and U1736220), the Pioneer Initiative of the Chinese Academy of Sciences, Feature Institutes Program (Grant Number: TSS-2015-06), and the Basic Project of National Science and Technology of China (no. 2009FY110100)."",31771225";2009FY110100;2017YFB082800;TSS-2015-06;U1736220;"31400886,""National Natural Science Foundation of China";Basic Project of National Science and Technology of China;National Key Research and Development Plan;"Pioneer Initiative of the Chinese Academy of Sciences, Feature Institutes Program"",,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"39,460127,""The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This work was supported in part by the National Natural Science Foundation of China (NSFC) under grant no. 61871418 and Open Fund of State Key Laboratory of Advanced Optical Communication Systems and Networks (Peking University), P.R. China."",61871418,National Natural Science Foundation of China (NSFC),,Open Fund of State Key Laboratory of Advanced Optical Communication Systems and Networks (Peking University),,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40,468754,We would like to thank the captain and crew of the John P. Tully as well as chief scientist Marie Robert for logistical support.,,,John P. Tully;Marie Robert,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"41,468754,""We would also like to thank the following IOS scientists and marine technicians for assistance with data collection and processing";" Michael Arychuk for his help with inter-calibrating DMS standards, Angelica Pena and Nina Nemchek for HPLC pigment data, and Chelsea Stanley and Stephane Gauthier for processing acoustics data."",,,Michael Arychuk";Angelica Pena;Nina Nemchek;Stephane Gauthier;Chelsea Stanley,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42,468754,Funding for this work was provided by the Natural Sciences and Engineering Research Council of Canada (to PDT) and from the National Science Foundation (grant NSF-OCE-043559) and WHOI Ocean Life Institute (to JWHD).,NSF-OCE-043559,National Science Foundation;Natural Sciences and Engineering Research Council of Canada;,,WHOI Ocean Life Institute,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"43,481888,""National Institute of Health, Grants numbers: T32MH082761, 1R01HL084064-01A2"",T32MH082761";1R01HL084064-01A2,National Institute of Health,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44,505094,We thank Christian Boedeker for feedback on the manuscript.,,,Christian Boedeker,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45,505094,Financial support during the preparation of this manuscript came from the Universita Politecnica delle Marche and the Australian Biological Resources Study (RFL213-08).,RFL213-08,Australian Biological Resources Study,,Universita Politecnica delle Marche,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46,515419,Part of this work was supported by JSPS KAKENHI Grant Number 15K00230.,15K00230,JSPS KAKENHI,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"47,516762,""This work has been partially funded by the Spanish Ministry of Economy and Competitiveness through the SMOG project (TIN2016-79095-C2-1-R) and the PRECISE project (TIN201454427-JIN), co-financed by FEDER."",TIN2016-79095-C2-1-R";TIN201454427-JIN,Spanish Ministry of Economy and Competitiveness;PRECISE project;FEDER,,,,SMOG project;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48,516762,This work has received funding from the European Union Horizon 2020 research and innovation programme under the Marie Sklodowska-Curie grant agreement No. 675320. This work reflects only the authors' view and the Research Executive Agency is not responsible for any use that may be made of the information it contains.,675320,European Union Horizon 2020 research and innovation programme under the Marie Sklodowska-Curie grant,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49,525822,This research was supported by a grant from the Estonian Ministry of Science and Education (IUT2-13).,IUT2-13,Estonian Ministry of Science and Education,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50,525822,We are grateful to Ehtibar Dzhafarov for his continuous support and encouragement.,,,Ehtibar Dzhafarov,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"51,525822,""We also thank Charlie Chubb, Ehtibar Dzhafarov, and Miguel Garcia-Perez for their suggestions concerning the previous versions of the manuscript."",,,Ehtibar Dzhafarov";Charlie Chubb;Miguel Garcia-Perez,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52,547571,This work was supported by a National Research Service Award from the National Institute of Child Health and Human Development to Y.H. (HD061173).,HD061173,National Institute of Child Health and Human Development,,,,National Research Service Award;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"53,548620,""The authors thank National Council for Scientific and technological Development (CNPq) for research grant and financial support to J.L.P. Mourino (CNPq 308292/2014-6) and M.L. Martins (CNPq 446072/2014-1, 305869/2014-0), and Epagri (Company of Agricultural Research and Rural Extension of Santa Catarina) for fish donation."",305869/2014-0";CNPq 446072/2014-1;CNPq 308292/2014-6,National Council for Scientific and technological Development (CNPq),J.L.P. Mourino;M.L. Martins,,Epagri (Company of Agricultural Research and Rural Extension of Santa Catarina) ,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"54,552942,""The authors are thankful to Hugo Santos, Olga Martinez and Ricardo Lacerda for the technical assistance provided in the maintenance of the aquaria."",,,Hugo Santos";Olga Martinez;Ricardo Lacerda,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55,552942,Authors also thank Laura Guimaraes for the help with statistic analysis.,,,Laura Guimaraes,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"56,552942,""This study was funded by the Portuguese Science and Technology Foundation (FCT) through a fellowship to Virginia Cunha (SFRH/BD/77931/2011), FCT project PSYCHOBASS (PTDC/AAG MAA/2405/2012) and UID/Multi/04423/2013."",SFRH/BD/77931/2011";PTDC/AAG MAA/2405/2012;UID/Multi/04423/2013,Portuguese Science and Technology Foundation (FCT);fellowship to Virginia Cunha;FCT ,,,,project PSYCHOBASS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"57,575822,""University of the Basque Country, Grant/Award Number: UFI11/09"; Basque Government, Grant/Award Number: POS_2015_2_0001; IT542/10;" John Fell OUP Research Fund, Grant/Award Number: EBD10940-151/102"",EBD10940-151/102";IT542/10;POS_2015_2_0001;UFI11/09,John Fell OUP Research Fund;Basque Government,,University of the Basque Country,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"58,590673,""This work was supported by grants from FONCyT (PICT 0892) to G.P. and C.A. and Ministerio de Ciencia y Tecnologia, Gobierno de la Provincia de Cordoba, (2008) to G.P. and CA and postdoctoral fellowship from CONICET to E.C., and doctoral fellowship from CONICET to D.A.R. is a Ph.D. student in Neuroscience of the Universidad Nacional de Cordoba (UNC)."",0892,""Ministerio de Ciencia y Tecnologia, Gobierno de la Provincia de Cordoba";"CONICET"",,Universidad Nacional de Cordoba (UNC),,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59,590673,We also would like to thank to the reviewers for their constructive comments and discussion.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60,596138,This research was supported by the Ministry of Higher Education Malaysia under Fundamental Research Grant Scheme (FRGS) with vot number 1554.,1554,Ministry of Higher Education Malaysia,,,,Fundamental Research Grant Scheme (FRGS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61,610098,Support was provided by the Israel Science Foundation Grant 1475/12 to Dominique Lamy.,1475/12,Israel Science Foundation,Dominique Lamy,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"62,632978,""This study has been funded by the Seed Funding Programme for Basic Research (ref: 201504159003), The University of Hong Kong."",201504159003,,,University of Hong Kong,,Seed Funding Programme for Basic Research";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63,639531,This work was supported by a grant from the American Psychological Association Society for Military Psychology (Division 19).,19,American Psychological Association Society for Military Psychology,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64,646550,This work is supported by the Research Initiative Grant Scheme (RIGS) offered by the International Islamic University Malaysia (IIUM) under project number RIGS15-154-0154.,RIGS15-154-0154,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65,660671,A. Torrico and A. Toriello were partially supported by the National Science Foundation via grant CMMI-1552479.,CMMI-1552479,National Science Foundation,A. Torrico;A. Toriello,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66,663879,This work was supported in part by NSF Grant CMMI1560828 and ONR Grant N00014-15-12082.,N00014-15-12082;CMMI1560828,ONR;NSF,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67,663879,We would like to thank the referees for carefully reading an earlier draft of the paper and providing valuable comments.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68,682672,The authors acknowledge partial support from the UK Engineering and Physical Sciences Research Council grant EP/L021285/1 (Monetize Me) and Science Foundation Ireland grant 3/RC/2094 as well as support from the European Research Council Advanced Grant-Adaptive Security and Privacy (291652-ASAP).,291652-ASAP;EP/L021285/1;3/RC/2094,European Research Council Advanced Grant-Adaptive Security and Privacy;UK Engineering and Physical Sciences Research Council;Science Foundation Ireland,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69,682672,Hannah Marston contributed to early conversations about this work and Kirstie Ball was an important member of the project team.,,,Hannah Marston;Kirstie Ball,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"70,689037,""This work was supported by the Health Promotion Administration, Ministry of Health and Welfare (RI: Ching-Ju Chiu, Ph.D. MOHW104-HPA-H-114-123107)."",MOHW104-HPA-H-114-123107,""Health Promotion Administration, Ministry of Health and Welfare"",,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71,689037,An earlier version of this paper was presented at the 2015 Taiwan Association of Gerontology and Geriatrics.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72,689037,We thank Prof. Li-Hui Lin for invaluable comments on the earlier version of this manuscript.,,,Li-Hui Lin,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
