MISC,freq,UNI,freq.1,COR,freq.2,FUND,freq.3,IND,freq.4
CSO,12.0,University of Southampton,51.0,Achmea SZ,4.0,"Research Grant Council of the Hong Kong Administrative Region, China",89.0,Guido Kuersteiner,14
Financial Valuation and Risk Management,12.0,Swiss Federal Institute of Technology in Zürich (ETH Zurich),51.0,Compagnia di San Paolo,4.0,Fonds Quebecois de Recherche Sur la Societe et la Culture Quebec (FQRSC),89.0,Peter Wakker,14
Fundamental Research Funds for the Central Universities,12.0,Emory University,51.0,Mobile Life Vinn-Excellence Centre,4.0,National Institute of Nursing Research (NINR),88.0,Guido Imbens,14
New York Camp Econometrics X,12.0,University of New South Wales,49.0,Nokia,4.0,National Research Foundation of Korea (NRF),87.0,Ka Chun Cheung,14
Federal Reserve System,12.0,Massachusetts Institute of Technology (MIT),49.0,"Kid Risk, Inc.",4.0,National Science Foundation (NSF),87.0,Paolo Guasoni,14
Australias National Research Organisation for Womens Safety (ANROWS),12.0,University of Queensland,48.0,Bloomberg,4.0,Russell Sage Foundation,86.0,Jerry Hausman,14
North American Summer Meetings of the Econometric Society,12.0,Boston College,47.0,"Abt Associates, Inc.",4.0,Australian Research Council Future Fellowship,86.0,Kristin Turney,14
NWO,12.0,University of Illinois-Urbana Champaign,47.0,Seattle Children's,4.0,Children's Bureau,85.0,Joris Pinkse,14
Asian Meetings of the Econometric Society,12.0,University of Bath,47.0,"World Vision, Inc",4.0,Dutch Cancer Society,85.0,Domenico Giannone,14
Senior Investigator Award in Ethics and Society,12.0,University of Ottawa,46.0,MSD,4.0,National Research Foundation South Africa (NRFSA),83.0,Anindya Banerjee,14
Project Advisory Group,12.0,Tilburg University,46.0,Wise Group,4.0,Research Foundation Flanders (FWO),83.0,Colleen Grogan,14
Operational Programme for Competitiveness Factors (COMPETE),11.0,Population Research Center,46.0,NSM,4.0,National Center for Research Resources (NCRR),81.0,Jenny,14
Growing Up in Australia,11.0,Department of Psychology,46.0,"Alliance for Sustainable Energy, LLC",4.0,Engineering and Phyiscal Sciences Research Council (ESPRC),79.0,Mark Watson,14
ELSA,11.0,University of Amsterdam Museum,44.0,Netspar,4.0,National Institute for Medical Research (NIMR),79.0,Dennis Kristensen,14
FaHCSIA,11.0,Universite de Montreal,44.0,Instituut Gak,4.0,Population Research Center (PRC),79.0,Wendy Rogers,14
European Federation of Pharmaceutical Industries and Associations (EFPIA),11.0,University of Notre Dame,44.0,Coca Cola Company,4.0,Australia Research Council Discovery Project,78.0,Andrew Patton,14
Research Foundation – Flanders (FWO),11.0,Xiamen University,44.0,UBS,4.0,"National Heart, Lung, and Blood Institute (NHLBI)",78.0,Katelyn MacDougald,14
Project Grant competition,11.0,University of Birmingham,44.0,JHPPL,4.0,China Scholarship Council,76.0,Jean-Marie Dufour,14
Children's Bureau,11.0,University of Arizona,44.0,Bayer Schering Pharma,4.0,Substance Abuse and Mental Health Services Administration (SAMHSA),76.0,Jean Jacod,14
Scientific and Technological Research Council of Turkey (TUBITAK),11.0,Durham University,43.0,AG Insurance,4.0,MacArthur Foundation,75.0,Badi Baltagi,14
Kansas Intensive Permanency Project (KIPP),11.0,University of Connecticut,43.0,Parkerville Children and Youth Care Inc.,4.0,Nuffield Foundation,74.0,Mathieu Rosenbaum,14
HILDA Survey,11.0,University of Alberta,43.0,Siemens,4.0,China Postdoctoral Science Foundation,72.0,Kelly Raley,14
Communaute francaise de Belgique,11.0,"University of California, Irvine (UCI)",43.0,Subsidiary of ContiTech of Continental AG,4.0,Natural Science and Engineering Council of Canada (NSERC),72.0,George Tauchen,14
Crown Copyright,11.0,University of Waikato,42.0,Nichiryoku Co. Ltd.,4.0,William T Grant Foundation (WTG),72.0,Paul Embrechts,14
Malawi Longitudinal Study of Families and Health (MLSFH),11.0,School of Economics,42.0,Abriendo Caminos Promotora Project Group,4.0,Deutsche Forschungsgemeinschaft (DFG),72.0,Matias Cattaneo,14
WLS,11.0,Fudan University,42.0,Desjardins Insurance,4.0,Fogarty International Center,71.0,Monique Jeanblanc,14
10th World Congress of the Econometric Society,10.0,Ocean University of China,42.0,London City Airport,4.0,Australian Research Council Discovery Early Career Researcher Award,71.0,Jeffrey T. Parsons,14
HBSC,10.0,Simon Fraser University,41.0,Syngenta Ltd,4.0,NIAAA,70.0,Peter C. B. Phillips,14
NIDDK,10.0,University of Waterloo,41.0,"Tuskegee Airmen, Inc.",4.0,US President's Emergency Plan for AIDS Relief (PEPFAR),70.0,M.,14
Economic and Social Research Council (ESRC),10.0,University of Aberdeen,41.0,RachelHatcher,4.0,Grant-in-Aid for Scientific Research (B),70.0,Gordon E. Willmot,14
Liaison Committee,10.0,Texas A&M University,41.0,CONSOL Energy,4.0,Population Studies Center,69.0,Bernard Harris,14
R&D&I capabilities,10.0,Humboldt-Universitat zu Berlin,41.0,Universita del Piemonte Orientale,4.0,National Institute of Food and Agriculture,69.0,Chris Hansen,14
program Investissements d'Avenir,10.0,National Human Genome Research Institute,41.0,Regione Autonoma della Sardegna (RAS),4.0,Wenner-Gren Foundations,69.0,John Gal,14
Investigator Award in Health Policy Research,10.0,Johns Hopkins University,40.0,"Nike, Inc",3.0,Austrian Science Fund (FWF),68.0,Phil Reny,14
HKSAR,10.0,University of Western Australia,40.0,Sandia National Laboratories,3.0,U.S. Government,67.0,Elie Tamer,13
Sociolegal Studies Association (SLSA),10.0,Tel Aviv University,40.0,Stiftung Mercator,3.0,National Social Science Fund of PR China (NSSF),67.0,William Collins,13
"2009-2013 NORFACE research programme Migration in Europe - Social, Economic, Cultural and Policy Dynamics",10.0,Katholieke Universiteit Leuven (KU Leuven),39.0,Formazione Quadri Terzo Settore,3.0,National Institute of Mental Health of the National Institutes of Health,65.0,Huang,13
Chair Markets in Transition,10.0,"Washington University, St. Louis",39.0,Banco Santander,3.0,Department of Veterans Affairs,64.0,Gary Solon,13
Board of Governors of the Federal Reserve,10.0,Stockholm University,37.0,Childrens Hospitals,3.0,Ministry of Education,63.0,David Grissmer,13
MISURA,10.0,Harvard Business School,37.0,"USAID, Concern Worldwide Inc.",3.0,Templeton World Charity Foundation,63.0,Price Fishback,13
IIES,10.0,Queen's University Belfast,37.0,P.O. Box,3.0,Fond de Recherche Quebecois sur la Societe et la Culture (FRQSC),62.0,Kevin D. Hoover,13
9th International Conference on Computational and Financial Econometrics (CFE 2015),10.0,Aarhus University,37.0,UK Data Service,3.0,National Health and Medical Research Council of Australia,61.0,Elaine Howard Ecklund,13
Sociological Forum,10.0,Northwestern,37.0,Ford Motor Company,3.0,National Human Genome Research Institute,61.0,Theo Sandfort,13
Nuclear Experts Talks),10.0,Graduate School,36.0,Persistence Plus,3.0,Finish Cultural Foundation,61.0,Jan Wallanders,13
SHARELIFE,10.0,Hebrew University of Jerusalem,36.0,Veterans Affairs Medical Center,3.0,Australian National Health and Medical Research Council,60.0,Gail Henderson,13
COST Action IC1205 on Computational Social Choice,10.0,University of Southern Denmark,36.0,Philips Company Archives,3.0,Danish Counsel of Independent Research (DFF),59.0,Angus Dawson,13
Health Care in the Round,10.0,University of Helsinki,36.0,Teva,3.0,Michael Smith Foundation for Health Research (MSFHR),59.0,J.,13
Casey Family Programs,10.0,Bartin University,35.0,FAPEMIG,3.0,NIA,59.0,Rong Chen,13
Department of Veterans Affairs,10.0,University of Wisconsin,35.0,Messaggero,3.0,U.S. National Science Foundation,59.0,Peter Lindert,13
Reproductive Donation team,10.0,Population Research Institute,35.0,Vertex Pharmaceuticals,3.0,Australian Research Council's Linkage Projects,59.0,Hoyt Bleakley,13
NBER-NSF Time Series Conference,10.0,George Washington University,35.0,Philips Australia,3.0,French National Association for Research and Technology (ANRT),57.0,Brian Mustanski,13
HCRA,10.0,University of Iowa,35.0,Dohme,3.0,Department of Health UK (DH),57.0,Jan Luiten van Zanden,13
DSS,10.0,University of Mannheim,35.0,Humana,3.0,Ministry of Science and Technology,56.0,Kris Mitchener,13
2009 NBER Summer Institute,10.0,Carnegie-Mellon University,35.0,Alberta Innovates-Health Solutions,3.0,Brocher Foundation,56.0,David Card,13
SHARE wave 4,10.0,New York State Psychiatric Institute,35.0,Universita degli Studi di Padova,3.0,Department for Education,56.0,Eric Schneider,13
GoWell,10.0,Department of Anthropology,34.0,MetroHealth System,3.0,Tom Hedelius foundation,56.0,Jeffrey Williamson,13
Families of Migrant origin: a Life course perspective,10.0,Research Funds of Renmin University of China,34.0,Digital Robust Designs,3.0,"National Institute of Justice, Office of Justice Programs",55.0,Roger Koenker,12
Health Economics Research Unit (HERU),9.0,Freie Universita Berlin,34.0,Sanofi Pasteur,3.0,National Institute for Health Research School for Social Care Research (NIHRSSCR),55.0,Vincanne Adams,12
2015 European Historical Economics Society Conference,9.0,Macquarie University,34.0,Fleggaard GmbH,3.0,Social Science Research Council,55.0,Yuichi Kitamura,12
CILS4EU,9.0,Aalto University,34.0,Laboratorio RicercAzione,3.0,UK Economic and Social Research Council (ESRC),55.0,Ivan Fernandez-Val,12
CREI,9.0,Brest University,34.0,Global Participacoes em Energia,3.0,UK government,55.0,Eric Grodsky,12
CHESS,9.0,University of Colorado,34.0,Kids Company,3.0,Research Grants Council of Hong Kong,54.0,Richard Blundell,12
NORFACE,9.0,University of Miami,34.0,Eurostat,3.0,Government of the Russian Federation,54.0,Katrien Antonio,12
Excellence Initiative,9.0,University and Research (MIUR),34.0,Alta Environmental Center,3.0,Italian Ministry of Education,54.0,Westerlund,12
AERA Grants Program,9.0,University,34.0,Fondation Brocher,3.0,Air Force Office of Scientific Research (AFOSR),53.0,Rama Cont,12
PsyD,9.0,Patient Centered Outcomes Research Institute,34.0,PSA Group,3.0,Riksbankens Jubileumsfond,53.0,Sara McLanahan,12
Community Advisory Boards,9.0,University of Missouri,34.0,Carita,3.0,National Data Archive on Child Abuse and Neglect,52.0,Jean-Charles Rochet,12
Getting Research into Policy in Health (GRIPHealth),9.0,Kyoto University,34.0,Corporate Risk Associates Ltd.,3.0,Center for AIDS Research,52.0,Todd Clark,12
PNCDI III,9.0,University of Barcelona,33.0,Plateforme Citoyenne,3.0,Scientific and Technological Research Council of Turkey (TUBITAK),52.0,Peter Carr,12
Policy Research Programme in the Department of Health,9.0,University of Chicago Graduate School of Business,33.0,Piramal,3.0,Kone Foundation,51.0,Dacheng Xiu,12
IARPA,9.0,University of Liege,33.0,Sanofi-Aventis,3.0,"Household, Income and Labour Dynamics in Australia (HILDA) Survey",51.0,Chris Sims,12
Tier 1 Canada Research Chair in Inner City Medicine,9.0,Center for Studies in Demography and Ecology seminar,33.0,Mentorn Media,3.0,Jacobs Foundation,51.0,R. Wang,12
Study 1,9.0,Iran University of Medical Sciences,32.0,Johnson,3.0,National Cancer Institute/National Institutes of Health,50.0,Yang,12
ALTIMA,9.0,University of Oregon,32.0,Fogarty International Center,3.0,Mexican National Science and Technology Council (CONACYT),50.0,Hashem Pesaran,12
NZAVS,9.0,Rice University,31.0,Avvenire,3.0,United States Government,50.0,Ms.,12
16th World Economic History Congress,9.0,Johns Hopkins University Center for AIDS Research,30.0,"NG Biomed, Ltd.",3.0,NCI,50.0,Bettina Bock,12
Interuniversity Consortium for Political and Social Research (ICPSR),9.0,School of Social Development and Public Policy at Fudan University,30.0,Making Space Ltd,3.0,World Bank,49.0,Liu,12
Ethox Centre,9.0,University of Cologne,30.0,FasterCures,3.0,National Fund for Scientific and Technological Development (FONDECYT),48.0,Sharon Wright,12
Lagrange Project,9.0,University of Colorado Boulder,30.0,Dartmouth-Hitchcock Medical Center,3.0,National Institute on Drug Abuse of the National Institutes of Health,47.0,Thomas Piketty,12
DEMETRIQ,9.0,The University of Texas,30.0,Riksbankens Jubileumsfond,3.0,Federal Ministry of Education and Research (BMBF),47.0,Joel Horowitz,12
NOVA,9.0,University of Newcastle,30.0,Neurotech Solutions,3.0,National Institute of General Medical Sciences,47.0,Michael,12
SHARE Waves 1,9.0,Wallenberg Academy Fellowship,30.0,Norwegian Computing Center,3.0,European Union's Horizon 2020 research and innovation programme under the Marie Sklodowska-Curie,47.0,David Kane,12
Interuniversity Attraction Pole,9.0,Tulane University School of Medicine,30.0,Schizophrenia Research Bank,3.0,Alfred P. Sloan Foundation,47.0,Frank Riedel,12
Health Technology Assessment,9.0,Utrecht University,30.0,"Resilient Dry Land Systems, ICRISAT-Patancheru",3.0,ZonMw,46.0,Fritz Thyssen Stiftung,12
Law and History Review,9.0,University of Kentucky,30.0,Bombardier Inc.,3.0,National Institutes of Environmental Health Sciences,46.0,David Landriault,12
Fragile Families Study,8.0,Faculty Research Grant,29.0,Toyota Collaborative Safety Research Center (CSRC),3.0,Public Health Agency of Canada (PHAC),46.0,Ewout Frankema,12
European Central Bank (ECB),8.0,Washington State University,29.0,General Motors Company,3.0,Spanish Ministry of Education,46.0,Walter Schachermayer,12
NorLAG,8.0,Institute for New Economic Thinking,29.0,Lundbeck GmbH,3.0,Spanish Government,46.0,Peter Boswijk,12
Econometric Society Australasian Meeting (ESAM),8.0,Institute for Medical Research,28.0,"Allergan, Inc.",3.0,Department of Agriculture (DoA),46.0,Per Mykland,12
"Sport, Gender Justice and Anti-Globalization Movements",8.0,North Carolina State University,28.0,"Bioceptive, Inc.",2.0,National Science Foundation Doctoral Dissertation Improvement Grant,45.0,Frank Kleibergen,12
LISS (Longitudinal Internet Studies for the Social sciences,8.0,Syracuse University,28.0,Sanowork,2.0,NHMRC,45.0,Annette Lareau,12
Project MIME,8.0,Universite catholique de Louvain,28.0,Manila Consulting Group,2.0,U.S. National Institute on Aging,45.0,Michael Lechner,12
2014 China Meeting of Econometric Society,8.0,"University of California, Santa Barbara",28.0,CANNEX,2.0,Polish National Science Centre,45.0,C. Bernard,12
Taiwan Stock Exchange (TSE),8.0,University of Sheffield,28.0,"Cephalon, Inc.",2.0,National Center for Advancing Translational Sciences of the National Institutes of Health,45.0,Andrew Shryock,12
Graduate Research Fellowship,8.0,Seoul National University (SNU),28.0,"Sigma, LLC",2.0,Health Resources and Services Administration,45.0,Fabio Canova,12
CREATES-Center for Research in Econometric Analysis of Time Series,8.0,Oxford -Man Institute of Quantitative Finance,28.0,Aon Benfield Asia Pte. Ltd,2.0,European Central Bank (ECB),45.0,Manuel Arellano,12
2012 European Meetings of the Econometric Society,8.0,University of Nebraska-Lincoln,28.0,"GOJO Industries, Inc",2.0,National Science Council of Taiwan,44.0,James MacKinnon,12
WHO,8.0,Rutgers University,28.0,Alpe d'HuZes,2.0,Swedish Council for Working Life and Social Research,43.0,Barbara Rossi,12
IDoC,8.0,Indiana University,27.0,Fundacion Lafourcade-Ponce,2.0,Humanity and Social Science Foundation of the Ministry of Education of China,43.0,Andrew Heathcote,12
Early Researcher Award,8.0,Queensland University of Technology,27.0,"National All-Jersey, Inc",2.0,Cancer Research UK (CRUK),43.0,Robert Bosch Stiftung,12
New Cultural Contradictions in Advanced Capitalist Societies,8.0,Queen's University,27.0,"Weichai Power Co., Ltd",2.0,U.S. Department of Homeland Security,43.0,Emili Tortosa-Ausina,12
Elevate Postdoctoral fellowship,8.0,Imperial College London,27.0,Albury-Wodonga Health,2.0,National Science Centre,43.0,Bob Simpson,12
