MISC,freq,UNI,freq.1,COR,freq.2,FUND,freq.3,IND,freq.4
CERC Survey,8.0,Hongik University Research Fund,22.0,Schlumberger Carbon Services,7.0,111 Project,92,May D. Wang,8.0
Centro de Referencia em Radiocomunicacoes,8.0,University of Bath,22.0,Central,7.0,Science Foundation Ireland,91,Christodoulos A. Floudas,8.0
XSEDE,8.0,Research Funds of Renmin University of China,21.0,Vinnova,7.0,Chinese Scholarship Council (CSC),90,Alexander von Humboldt,8.0
GRAND NCE,8.0,National Taiwan Ocean University,21.0,Alberta Innovates Technology Futures,7.0,Program for Changjiang Scholars,88,M. Kamal,8.0
GDUPS (2012,8.0,University of Manchester,21.0,BAE Systems,7.0,National Key Basic Research and Development Program,88,J. Zhu,8.0
Japan Science and Technology Agency  (JST),8.0,Universiti Kebangsaan Malaysia,21.0,Thomson Reuters,7.0,Natural Sciences and Engineering Research Council (NSERC) of Canada,87,J. Zhang,8.0
UNESCO,8.0,Xihua University),21.0,LetPub,7.0,Australia Research Council Discovery Project,87,S. Massar,8.0
BERC 2014-2017 program,8.0,Columbia University of New York,21.0,Vodafone,6.0,Doctoral Fund of Ministry of Education of China,84,Wenjie Zhang,8.0
Quality Enhancement Research Initiative,8.0,North-West University,21.0,Nextflow Software,6.0,Economic and Social Research Council (ESRC),83,Carl Gornitzki,8.0
disease management services Health Dialog,8.0,Liaoning University of Technology,21.0,NXP Semiconductors,6.0,NSF CAREER,82,L. Shi,8.0
Scholarship Programme,8.0,University of Malaya High Impact Research Grants,21.0,Endo Metric Corporation,6.0,Department of Health and Human Services,82,Xiao Liang,8.0
Brain Korea 21 Plus Project,8.0,Italian Ministry of University and Research (MIUR),21.0,Toyota Technological Institute,6.0,National Social Science Foundation of China,82,T. Lin,8.0
ASTRON,8.0,"King Saud University, Riyadh, Saudi Arabia",21.0,Adobe Systems Inc,6.0,Portuguese Foundation for Science and Technology (FCT),81,R. de Wolf,8.0
Coordinating Center,8.0,University of Illinois-Urbana Champaign,21.0,Philips Respironics,6.0,Science and Technology Development Fund (STDF),81,Q. Tian,8.0
H2020 Programme,8.0,University of Pittsburgh,21.0,Dohme,6.0,National Institute of Aging,80,Janssen-Cilag,8.0
XDATA program,8.0,University of North Carolina at Charlotte,20.0,CMC Microsystems,6.0,NSERC Discovery Grant,78,Q. Wang,8.0
GLISEN,8.0,Department of Statistics,20.0,Altera,6.0,"Natural Science Foundation of Liaoning Province, China",78,Q. Liu.,8.0
REDES,8.0,University of Houston,20.0,ZonMw,6.0,"National Science Centre, Poland",78,Y. Zhang,8.0
program Centre CERIT Scientific Cloud,8.0,University of the Basque Country,20.0,Shifa International Hospital,6.0,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),77,W. Yu,8.0
Sectoral Operational Program for Increase of the Economic Competitiveness,8.0,New York University (NYU),20.0,ParisTech,6.0,"Department of Science and Technology, Government of India",77,X. Zeng,7.0
Arthritis Research UK,8.0,Kyoto University,20.0,Mellanox Technologies,6.0,Australian Research Council (ARC),77,J. Solomon,7.0
IT4Innovations excellence in science-LQ1602,8.0,Pusan National University,20.0,Microsoft Corporation,6.0,Natural Science Foundation of Shanghai,76,Dr Beeler,7.0
Innovative Research Team,8.0,Monash University,20.0,"Medpace, Inc.",6.0,National Institute of General Medical Sciences,75,T. Helleseth,7.0
HEMO,8.0,King Abdulaziz University (KAU),20.0,"IXICO, Ltd.",6.0,Natural Science Foundation of Tianjin,75,H. Chen,7.0
Google Faculty Award 2013,8.0,Vanderbilt University Medical Center,19.0,STMicroelectronics,6.0,NPRP,74,J. Basak,7.0
PRO Consortium,8.0,Laboratory for Neuro Imaging,19.0,Elsevier,6.0,Ministry of Education of China,74,S. Chen,7.0
FRIB,8.0,Fujian Province University,19.0,LifeScan,6.0,United States Air Force Research Laboratory (AFRL),73,Nicola Guarino,7.0
ADERSIM,8.0,"University Grants Committee, Hong Kong",19.0,IBM Corporation,6.0,European Union's Horizon 2020 research and innovation programme under the Marie Sklodowska-Curie,73,W. Wu,7.0
Tesla K40c,8.0,Iowa State University,19.0,Yandex,6.0,Canada Research Chairs Program,73,L. Hanzo,7.0
CISTER,8.0,"Zhejiang University, China",19.0,Genzyme,6.0,National Funds,72,Patricia Flatley Brennan,7.0
ALSPAC,8.0,Northern California Institute for Research and Education,19.0,Airbus,6.0,Scientific Research Fund of Liaoning Provincial Education Department,72,Kamil Ugurbil,7.0
"Projects of Large Research, Development, and Innovations Infrastructures",8.0,China University of Geoscience (Wuhan),19.0,Inco,5.0,Hunan Provincial Natural Science Foundation,72,W. Hu,7.0
IBM DOME,8.0,"University of Saskatchewan, Canada",19.0,Volkswagen Stiftung,5.0,Korea government(MSIP),72,R. Roberts.,7.0
BeingTogether Centre,8.0,South China University of Technology,19.0,Honeywell International Inc.,5.0,French National Association for Research and Technology (ANRT),71,J. Kim,7.0
IEEE International Symposium on Information Theory (ISIT),8.0,"Free University of Bozen-Bolzano, Italy",18.0,LG Electronics,5.0,Netherlands Organisation for Health Research and Development (ZonMW),71,M. K. Tiwari,7.0
Foundation for the Protection of Research and Scientific and Technological Development of the State of Maranhao (FAPEMA),8.0,Kobe University,18.0,Flickr,5.0,ARC,70,Q. Xu,7.0
University Research Grants Program (URGP),7.0,University of Waterloo,18.0,Apple Inc.,5.0,Polish Ministry of Science and Higher Education,70,Ioannis Maghiros,7.0
CREST,7.0,University of Newcastle,18.0,British Telecommunications Plc,5.0,Deutsche Forschungsgemeinschaft (DFG),70,D. Tao.,7.0
Digital Creativity Labs,7.0,University of Miami,18.0,Tencent,5.0,Generalitat Valenciana (GVA),70,R. Lynch,7.0
Dagstuhl Seminar 15241,7.0,Chulalongkorn University,18.0,Toyota entity,5.0,National Institute for Medical Research (NIMR),70,L. Han,7.0
Google Focused Research Award,7.0,"University of Parma, Italy",18.0,Cray Inc,5.0,French National Centre for Scientific Research (CNRS),70,G.,7.0
SIX,7.0,Duke University,18.0,"Samsung Electronics Company, Ltd.",5.0,Polish National Science Centre,69,Rui Zhang,7.0
"Integrated center for research, development and innovation in Advanced Materials, Nanotechnologies, and Distributed Systems for fabrication and control",7.0,Department of Mechanical Engineering,18.0,SERVIER Canada Inc,5.0,Norwegian Research Council,69,Han,7.0
ARL,7.0,Software Engineering Institute,18.0,Sprint,5.0,"Science and Technology Planning Project of Guangdong Province, China",69,Jian Zhang,7.0
Human Resources Program in Energy Technology,7.0,Instituto Politecnico Nacional,18.0,Turk Telekom,5.0,Ministry of Higher Education in Malaysia,68,G. Pirlo,7.0
FARSEEING,7.0,Lee Kong Chian School of Medicine,18.0,Ricerca di Base,5.0,Wellcome Trust,68,F. Wu,7.0
Basic Science Research Program,7.0,Universidad de Chile,18.0,NVIDIA corporation,5.0,National Health and Medical Research Council,68,G.-B. Huang,7.0
Human-Centered Interaction for Coexistence,7.0,Sun YatSen University,18.0,Crown Castle,5.0,National Institute of Diabetes and Digestive and Kidney Diseases,67,C. Wang,7.0
PNCDI III,7.0,Oregon State University,18.0,COM,5.0,Australian Government (AG),66,David Van Essen,7.0
CSIRO,7.0,University of Texas at Austin,18.0,Microelectronics Advanced Research Corporation,5.0,"Alexander Von Humboldt Foundation, Germany",66,Huang,7.0
Campus for Research Excellence And Technological Enterprise (CREATE) programme,7.0,Vanderbilt University,18.0,"NetApp,",5.0,National Key Research and Development Plan Grant,65,W. Pedrycz,7.0
Methods for Discrete Structures',7.0,Falk Institute,18.0,Ford Motor Company,5.0,ICT R&D program of MSIP/IITP,65,J. Q. Gan,7.0
European Regional Development Fund (FEDER),7.0,University of Sheffield,17.0,"Mentor Graphics, Inc",5.0,National Center for Research Resources (NCRR),65,H. Park,7.0
C-FAR,7.0,University of Henan Province,17.0,"UChicago Argonne, LLC",5.0,National Institute on Drug Abuse (NIDA),65,S. Liu,7.0
IC Design Education Center (IDEC),7.0,University of Western Australia,17.0,Dell,5.0,Slovenian Research Agency,64,Christian Timmerer,7.0
ARUB program,7.0,UGC,17.0,Quanta,5.0,"UK Engineering and Physical Sciences Research Council (EPSRC)""",64,G.-P. Liu.,7.0
Cloud Based Security Intelligence Technology Development for the Customized Security Service Provisioning,7.0,Delft University of Technology,17.0,Boeing Company,5.0,Science and Technology Program of Guangzhou,63,Eamonn Keogh,6.0
INSPIRE Fellowship,7.0,University of Tehran,17.0,Statoil do Brasil Oleo e Gas Ltda.,5.0,Spanish MINECO,63,R. Schnall,6.0
ARIC,7.0,University of Pennsylvania,17.0,Mono,5.0,National Science Fund for Distinguished Young Scholars,62,Jose Duarte,6.0
Human Connectome Project,7.0,Michigan State University,17.0,Yahoo! Inc.,5.0,Foundation for Research Support of the State of Minas Gerais (FAPEMIG),62,Fiks,6.0
Google Faculty Award,7.0,Max Planck Society,17.0,Rohm Corporation,5.0,Science and Technology Planning Project of Zhejiang Province,62,Tracy Roberts,6.0
eMERGE Network,7.0,"Program for New Century Excellent Talents in University, China",17.0,Kongsberg Maritime,5.0,ISF,61,Dacheng Tao,6.0
100 Talents Program,7.0,Charles University,17.0,Accenture,5.0,European Regional Development Fund (ERDF),61,S. Li.,6.0
973 Project,7.0,Fujian Normal University,17.0,AMD,5.0,Alzheimers Disease Neuroimaging Initiative (ADNI),61,Massimiliano Carrara,6.0
CTSA,7.0,Lancaster University,16.0,MITRE Corp.,4.0,"Ministry of Trade, Industry & Energy (MOTIE, Korea)",61,Copel,6.0
NHMRC,7.0,University of Liege,16.0,Symantec,4.0,Ministry of Education Universities and Research of Italy (MIUR),60,G. L. Pappa,6.0
R&T program,7.0,Nova Southeastern University,16.0,MEDA Pharma GmbH,4.0,Department of Veterans Affairs,60,Noguera,6.0
CYTED 2011,7.0,Multidisciplinary University Research Initiative (MURI),16.0,Galdakao-Usansolo Hospital,4.0,Liaoning Provincial Natural Science Foundation,58,N. Wu,6.0
ISCIII,7.0,Shenzhen University,16.0,CEris,4.0,Junta de Andalucia),58,P. N. Suganthan,6.0
SMART-GLACIS,7.0,School of Computer Science,16.0,Boehringer Ingelheim,4.0,Research Grant Council of the Hong Kong Special Administrative Region,58,E. Santos,6.0
SURF Cooperative,7.0,Department of Medicine,16.0,S.E.M,4.0,Ministry of Education and Science of the Russian Federation,58,C. Smidts,6.0
INSPIRE,7.0,Alan Turing Institute,16.0,Takeda Pharmaceuticals International AG,4.0,Foundation for Research Support of the State of Rio de Janeiro (FAPERJ),57,Smith,6.0
COMPETE Program,7.0,Cornell University,16.0,"CRF Health, Inc.",4.0,Research Foundation Flanders (FWO),57,Ingrid Nunes,6.0
Research Foundation of the State of Sao Paulo (FAPESP),7.0,Incheon National University Research Grant,16.0,Northrop Grumman Aerospace Systems,4.0,National Science Foundation Graduate Research Fellowship,56,Steve Nyemba,6.0
INESCTEC,7.0,Patient-Centered Outcomes Research Institute (PCORI) Award,16.0,Digital Technology Center,4.0,Hong Kong Research Grants Council (RGC),56,Vinnova,6.0
WU-Minn Consortium,7.0,"PLA University of Science and Technology, China",15.0,"National Technology & Engineering Solutions of Sandia, LLC",4.0,Japan Science and Technology Agency  (JST),56,W. Li,6.0
IDM Futures Funding Initiative,7.0,University of Manitoba,15.0,"Janssen Alzheimer Immunotherapy Research and Development, LLC",4.0,Research Foundation – Flanders (FWO),55,Hajo Rijgersberg,6.0
LISA initiative,7.0,Durham University,15.0,SGS Hong Kong Limited,4.0,State Key Program of National Natural Science of China,55,Brandon Lucia,6.0
Thousand Talents Plan,7.0,Guangxi University of Finance and Economics,15.0,Defond,4.0,Natural Science Foundation of Jiangsu Higher Education Institutions,55,Shuchao Pang,6.0
Hong Kong 2016,6.0,SFI Offshore Mechatronics,15.0,Otsuka Pharmaceuticals,4.0,Instituto de Salud Carlos III,55,Robert Ganian,6.0
Leibniz Supercomputing Centre (LRZ),6.0,RMIT University,15.0,Amazon EC2,4.0,National High-Tech R&D Program of China,54,Shah,6.0
GEODAS-REQ,6.0,Khon Kaen University,15.0,RZ Tienen,4.0,Aeronautical Science Foundation of China,54,Gert de Cooman,6.0
Ontario Graduate Scholarship Program,6.0,Department of Control and Computer Engineering,15.0,Vincent Medical,4.0,Tianjin Municipal Natural Science Foundation,53,J. Liu.,6.0
NIGMS,6.0,University of Ottawa,15.0,Globus,4.0,"Science and Technology Commission of Shanghai Municipality, China",53,S. Bhunia,6.0
Department of Veterans Affairs,6.0,Queensland University of Technology,15.0,Avexa Pty Ltd,4.0,Fundacao para a Ciencia e a Tecnologia (FCT),53,K. Ren,6.0
Connected Health Early Stage Researcher Support System,6.0,Georgia State University,15.0,LifeLines Neurodiagnostic Systems Inc.,4.0,National Key Technologies R&D Program of China,53,Manuel Salvadores,6.0
Eir Research and Business Park,6.0,"National Central University, Taiwan",15.0,NAG Ltd,4.0,Postdoctoral Science Foundation of China,53,Bill Albritton,6.0
Junta de Andalucia,6.0,College of Engineering,15.0,ReachOut.,4.0,Youth Innovation Promotion Association CAS,52,Guillermina Lopez-Bendito,6.0
