MISC,freq,UNI,freq.1,COR,freq.2,FUND,freq.3,IND,freq.4
NBER Summer Institute,46.0,University of Malaya,191.0,"Oesterreichische Nationalbank (Oesterreichische Nationalbank, Anniversary Fund",11.0,Netherlands Organisation for Scientific Research,269.0,Fabrizio Zilibotti,47
2013 Asian Meeting of Econometric Society,46.0,University of Pennsylvania,187.0,Microsoft Azure Research,11.0,Bill and Melinda Gates Foundation,260.0,Harald Uhlig,47
Fundamental Research Funds for the Central Universities,46.0,University of Florida,177.0,Takeda Pharmaceuticals International AG,11.0,French National Research Ageny (ANR),255.0,Jeremy Stein,46
Journal of Finance,45.0,University of Melbourne,175.0,RTI Health Solutions,10.0,Natural Sciences and Engineering Research Council (NSERC),255.0,Oded Galor,46
HTA programme,44.0,University of Minnesota,172.0,TNS UK Ltd,10.0,Spanish Ministry of Science and Innovation (MICINN),244.0,Gary Charness,46
CESifo,44.0,Guangxi University of Finance and Economics,172.0,Medtronic,10.0,German Ministry for Education and Research (BMBF),239.0,John Campbell,46
NEUDC,44.0,University of Oslo,171.0,Charles River Associates,10.0,Czech Science Foundation,233.0,Gilles Duranton,45
EEA,44.0,University College London (UCL),170.0,CNPq,10.0,Grant-in-Aid for Scientific Research (B),212.0,Erzo Luttmer,45
Grant-in-Aid for Scientific Research (A),43.0,IE Business School,167.0,"Allergan, Inc.",10.0,China Scholarship Council,211.0,Janet Currie,45
Center for Research in Econometric Analysis of Time Series (CREATES),41.0,University of Manchester,165.0,ICF International,10.0,Norwegian Research Council,204.0,Hilary Hoynes,44
ERG,40.0,Georgetown University,161.0,Dow Chemical Company,10.0,Department of Agriculture (DoA),199.0,Kathleen Mullan Harris,44
SSA,40.0,"University of California, Los Angeles (UCLA)",159.0,UBS,9.0,Swedish Research Council,196.0,Pascaline Dupas,44
"Operational Program ""Education and Lifelong Learning",40.0,University of Bonn,158.0,AXA Research Fund,9.0,United Kingdom Department for International Development (DFID),191.0,Esther Duflo,44
CREATE,38.0,Norwegian University of Science and Technology (NTNU),157.0,NASDAQ,9.0,National Institute of Aging,191.0,Amy Finkelstein,44
AEA,37.0,Monash University,157.0,Sandia National Laboratories,8.0,"National Science Centre, Poland",179.0,Abhijit Banerjee,44
PT2020 Partnership Agreement,37.0,Copenhagen Business School,153.0,Elsevier,8.0,European Union's Horizon 2020 research and innovation program,175.0,Jianqing Fan,43
China Health and Nutrition Survey (CHNS),37.0,Hong Kong Polytechnic University,153.0,"Alcoa, Inc.",8.0,Coordination for the Improvement of Higher Education Personnel (CAPES),174.0,Heidi Williams,43
CERGE-EI,35.0,Tsinghua University,152.0,Shell,8.0,National Social Science Fund of PR China (NSSF),165.0,Philipp Kircher,43
American Finance Associaton (AFA),35.0,University of Sussex,151.0,"Anthem, Inc",8.0,Social Sciences and Humanities Research Council (SSHRC),159.0,Liran Einav,43
2009 NBER Summer Institute,35.0,Harvard Business School,150.0,Biogen,8.0,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),156.0,Edward Glaeser,43
2018 Canadian Economic Association,35.0,Pusan National University,147.0,Rio Tinto,8.0,Tom Hedelius foundation,155.0,Jean-Charles Rochet,43
Canadian Research Data Centre Network (CRDCN),35.0,University of Zurich,146.0,Nielsen Company,8.0,"Ministry of Education, Republic of Korea",153.0,John List,43
European Finance Association,35.0,Tilburg University,145.0,Stiftung Mercator,8.0,European Union's Seventh Framework Programme,149.0,Lars Hansen,43
CHNS 2009,34.0,University of Washington,144.0,"Amgen, Inc",8.0,Federal Reserve System,149.0,David Hirshleifer,43
Agricultural  Applied Economics Association (AAEA),33.0,University of Southern California,142.0,Astellas,8.0,Danish National Research Foundation,143.0,Wei Jiang,43
American Economic Association,33.0,"University of British Columbia, Canada",142.0,AQR Capital Management,8.0,Engineering and Physical Sciences Research Council (EPSRC),142.0,David Cooper,43
EUROMOD,33.0,University of Victoria,137.0,ParisTech,8.0,National Research Foundation of Korea (NRF),137.0,Debraj Ray,42
Taiwan Stock Exchange (TSE),31.0,National Research University Higher School of Economics in Russia,137.0,BHP Billiton,7.0,Ministry of Education of China,137.0,Martin Peitz,42
PSE,30.0,University of Tehran,134.0,EuroQol Group,7.0,Engineering and Phyiscal Sciences Research Council (ESPRC),129.0,Michael Roberts,41
UK Data Archive,30.0,University of Kansas,131.0,Riksbankens Jubileumsfond,7.0,Social Science and Humanities Research Council (SHHRC),127.0,David Autor,41
Operational Programme on Competitiveness and Internationalization COMPETE 2020,30.0,Purdue University,129.0,Qualcomm,7.0,French National Association for Research and Technology (ANRT),124.0,Peter Wakker,41
973 Program,29.0,Department of Agricultural Economics,128.0,Celgene,7.0,European Central Bank (ECB),119.0,Bill Schwert,41
Labex MME-DII,29.0,Boston College,127.0,"Analysis Group, Inc.",7.0,U.S. Department of Education,119.0,Muriel Niederle,41
International Monetary Fund (IMF),29.0,University of New South Wales,127.0,Fondazione Cassa dei Risparmi di Forli,7.0,Generalitat Valenciana (GVA),117.0,Laura Starks,41
Barcelona GSE,29.0,Department of Agricultural and Resource Economics,126.0,Vanguard,7.0,Ministry of Science and Technology,114.0,Nicola Gennaioli,41
Eurosystem,29.0,Fudan University,124.0,Volvo Group,7.0,Humanity and Social Science Foundation of the Ministry of Education of China,113.0,Morten Ravn,40
Japanese Economic Association (JEA),29.0,University of Mannheim,121.0,YouGov,7.0,Scientific and Technological Research Council of Turkey (TUBITAK),112.0,Luigi Pistaferri,39
2010 Econometric Society World Congress,29.0,University of Wisconsin-Madison,118.0,Janssen Pharmaceuticals,7.0,Deutsche Forschungsgemeinschaft (DFG),111.0,Nick Bloom,39
Global Competitiveness Programme,29.0,Sloan School of Management,118.0,MarineTraffic,7.0,British Academy,110.0,Jarrad Harford,39
2014 Australasian Finance and Banking Conference,29.0,University of Valencia,118.0,Fondazione Banco di Sardegna,6.0,National Science Council of Taiwan,109.0,Geert Bekaert,39
111 Project,28.0,Institute for New Economic Thinking,118.0,ConocoPhillips Inc,6.0,Leverhulme Trust,109.0,Brian Roe,39
10th World Congress of the Econometric Society,28.0,Seoul National University (SNU),117.0,FWO Vlaanderen,6.0,Ministry of Education,106.0,Han Hong,39
World Development,28.0,Toulouse School of Economics,115.0,Bloomberg,6.0,Research Grants Council of Hong Kong,105.0,Thomas Piketty,38
Bank for International Settlements (BIS),28.0,Hitotsubashi University,114.0,Ford Motor Company,6.0,Generalitat de Catalunya,104.0,Patrick Rey,38
ISIGrowth,28.0,University of Sydney,114.0,Barclays Stockbrokers,6.0,"Research Grant Council of the Hong Kong Administrative Region, China",103.0,Andres Rodriguez-Clare,38
CREI,27.0,University of Illinois-Urbana Champaign,113.0,Toyota Motor Corporation,6.0,Zhejiang Provincial Natural Science Foundation of China,100.0,Glenn Harrison,38
Asian Meetings of the Econometric Society,27.0,University of Waikato,113.0,"Actelion Pharmaceuticals Ltd, Allschwil, Switzerland",6.0,Federal Ministry of Education and Research (BMBF),98.0,Tim Cason,38
Banque de France,27.0,"University of California, Irvine (UCI)",111.0,"National Technology and Engineering Solutions of Sandia, LLC.",6.0,Portuguese Foundation for Science and Technology (FCT),98.0,Ivan Werning,37
2013 WFA Annual Meeting,27.0,Chinese University of Hong Kong,110.0,Sanergy Ltd,6.0,Italian Ministry of Education,98.0,Dirk Krueger,37
UK Health and Safety Executive (HSE),26.0,University of Amsterdam Museum,109.0,MediaCom Ltd,6.0,Austrian Science Fund (FWF),96.0,Bruno Biais,37
North American Summer Meetings of the Econometric Society,26.0,University of Groningen,109.0,SIRCA,6.0,Alfred P. Sloan Foundation,93.0,Richard Blundell,37
7th Framework Programme,26.0,University of Chicago Graduate School of Business,108.0,Dell,6.0,Spanish Ministry of Education,93.0,Navin Kartik,37
CLIMACAP,25.0,Landau University,108.0,Russell Investments,6.0,Severo Ochoa Programme for Centres of Excellence,92.0,James Fenske,37
GRIPS,25.0,Singapore Management University,108.0,"Janssen Alzheimer Immunotherapy Research and Development, LLC",6.0,Research Foundation – Flanders (FWO),91.0,Wei Xiong,36
Association of Public Policy Analysis and Management (APPAM),25.0,University of Trieste,107.0,Eesti Pank,6.0,MOE (Ministry of Education in China) Project of Humanities and Social Sciences,91.0,Amit Seru,36
CGIAR,25.0,Arizona State University,107.0,Neogen Corporation,6.0,International Monetary Fund (IMF),91.0,James Heckman,36
LACEA,24.0,London Business School,107.0,Shire Pharmaceuticals,6.0,National Social Science Foundation,89.0,Joel Sobel,36
Einaudi Institute for Economics and Finance (EIEF),24.0,Carnegie-Mellon University,105.0,CentERdata,6.0,Sloan Foundation,84.0,Stefan Nagel,36
Federal Reserve Board,24.0,Nanyang Technological University,103.0,Amazon Web Services,6.0,Ministry of Education Universities and Research of Italy (MIUR),82.0,Patrick Bolton,35
ESOP,24.0,Stockholm School of Economics,103.0,Thomson Financial,6.0,Bank of England,82.0,Hendrik Bessembinder,35
French National Institute of Agricultural Research (INRA),24.0,University of Queensland,102.0,Ozarks Land Conservation Cooperative,6.0,U.S. Department of Energy,80.0,Vernon Henderson,35
American Education Finance and Policy Association (AEFP),24.0,University of Arizona,101.0,Boston Consulting Group,6.0,Russell Sage Foundation,80.0,Steven Durlauf,35
9th International Conference on Computational and Financial Econometrics (CFE 2015),24.0,"Washington University, St. Louis",100.0,Magyar Nemzeti Bank,6.0,UK Economic and Social Research Council (ESRC),78.0,Scott Stern,35
MIT Joint Program on the Science and Policy of Global Change,24.0,Swiss Federal Institute of Technology in Zürich (ETH Zurich),99.0,IMM,5.0,National Science Foundation (NSF),77.0,Lawrence Katz,35
2009 European Finance Association Meeting,23.0,Vienna University of Economics and Business (WU),99.0,Edanz Group,5.0,Natural Science Foundation of Jiangsu Province of China (NSFJPC),77.0,Ed Glaeser,35
EARIE,23.0,Kyoto University,97.0,IRI,5.0,German Academic Exchange Service (DAAD),76.0,Ran Abramitzky,34
2015 International Industrial Organization Conference,23.0,McGill University,96.0,Metrolinx,5.0,Danish Counsel of Independent Research (DFF),75.0,Rick van der Ploeg,34
NRF,23.0,International Food Policy Research Institute (IFPRI),96.0,Stata,5.0,National Institute for Health Research Health Technology Assessment (HTA) programme,75.0,Marianne Bitler,34
SSA Retirement Research Consortium,23.0,Research Funds of Renmin University of China,95.0,Equifax,5.0,Spanish Ministry for Economy and Competitiveness,75.0,Joel Slemrod,34
ECARES,22.0,Katholieke Universiteit Leuven (KU Leuven),94.0,Instituut Gak,5.0,Agency for Healthcare Research and Quality (AHRQ),74.0,Stephan Klasen,34
Global Development Network (GDN),22.0,University of Alberta,94.0,Allergan Limited,5.0,Shanghai Pujiang Program,74.0,Larry Samuelson,34
IIES,22.0,Texas A&M University,94.0,Microsoft Research Inc.,5.0,U.S. Environmental Protection Agency (EPA),74.0,Robin Greenwood,34
ONS,22.0,University of Bath,93.0,Platypus Asset Management,5.0,U.S. National Science Foundation,74.0,Drew Fudenberg,34
UNU-WIDER,22.0,Iowa State University,93.0,Agroscope Reckenholz-Tanikon Research Station,5.0,National Institute for Health Research (NIHR),74.0,Eddie Dekel,34
PIM,22.0,Xiamen University,92.0,LetPub,5.0,Priority Academic Program Development of Jiangsu Higher Education Institutions (PARD),72.0,Sheridan Titman,34
Social Sciences and Humanities Research Council (SSHRC),22.0,University of South Carolina,91.0,Johnson,5.0,UK government,72.0,Ilyana Kuziemko,34
ASSA Annual Meetings,22.0,Norwegian School of Economics,91.0,"Regeneron Pharmaceuticals, Inc.",5.0,Robert Wood Johnson Foundation (RWJF),72.0,Uri Gneezy,34
Federal Reserve Bank of Atlanta,22.0,Georgia State University,90.0,CalPERS,5.0,National Natural Science Foundation (NNSF),72.0,Alberto Alesina,33
"Research Institute of Economy, Trade and Industry (RIETI)",21.0,University of Western Australia,87.0,PricewaterhouseCoopers,5.0,Bank of Canada,72.0,Jesse Rothstein,33
FaHCSIA,21.0,Northwestern,86.0,Microsoft Corporation,5.0,Natural Science and Engineering Council of Canada (NSERC),71.0,Lutz Kilian,33
Society of Labor Economists (SOLE),21.0,University of Texas at Austin,86.0,Eni S.p.A.,5.0,Australian Research Council Discovery,70.0,Arun Agrawal,33
INET,21.0,Indiana University,86.0,Sawtooth Software,5.0,Department for International Development (DFID-UK),69.0,Alan Auerbach,33
International Conference,21.0,International Forensic Research Institute,86.0,Palm Associates,5.0,Australian Government (AG),69.0,Enrico Moretti,33
Financial Management Association,21.0,Erasmus University Rotterdam,86.0,Narodowy Bank Polski,5.0,Seventh Framework Programme,69.0,Martin Kocher,33
American Law and Economics Association,21.0,University of North Carolina at Charlotte,86.0,TNS UK Limited,5.0,National Science Foundation Graduate Research Fellowship,68.0,Sendhil Mullainathan,33
General Research Fund,21.0,European University Institute,85.0,MSD,5.0,Fonds Quebecois de Recherche Sur la Societe et la Culture Quebec (FQRSC),68.0,Charles Engel,33
Ray Zemon Chair in Liquid Assets,21.0,Tel Aviv University,85.0,Asociacion Mexicana de Cultura,5.0,Federal Reserve Board,68.0,Thierry Foucault,33
Canadian Institute of Health Research (CIHR),21.0,College of Business,84.0,Editage,5.0,Swedish Research Council Formas,67.0,Andrew Clark,33
Quality of Life,21.0,Melbourne Institute,84.0,GfK Verein e.,5.0,Spanish Government,66.0,Viral Acharya,33
Annual Meeting of the Allied Social Science Associations (ASSA),21.0,"University of Technology, Sydney",83.0,Lasse Tor Nielsen,5.0,Natural Environment Research Council (NERC),66.0,Michelle Hanlon,33
Southern Economic Association Conference,21.0,University and Research (MIUR),82.0,"dello sviluppo turistico. Un'analisi del loro impatto economico, sociale e culturale'', Research Funds",4.0,Australian Government Department of Social Services,65.0,Yong Yu,33
HMRC,21.0,University of Gothenburg,81.0,AVL List GmbH,4.0,USDA Economic Research Service,65.0,Peter Phillips,32
RCUK Energy Program,21.0,Zhejiang University,81.0,Takeda Pharmaceutical Company Limited,4.0,Spanish Ministry of Science and Technology (MICYT),65.0,Peter Egger,32
Western Finance Association,21.0,University of Guilan,80.0,Watson Pharmaceuticals,4.0,Program for New Century Excellent Talents,65.0,Per Krusell,32
2012 Northern Finance Association Meetings,20.0,Lancaster University,79.0,Australian Property Monitors,4.0,National Fund for Scientific and Technological Development (FONDECYT),65.0,Stefan Trautmann,32
SCCER CREST,20.0,University of Connecticut,79.0,Fogarty International Center,4.0,Basic Science Research Program,65.0,Steven Ongena,32
"CFI, Statistics Canada",20.0,Ocean University of China,79.0,Tek,4.0,Singapore Ministry of Education,64.0,David Cutler,32
Statistics Canada,20.0,University of East Anglia,78.0,Aetna,4.0,"Fundacao para a Ciencia e a Tecnologia, Portugal",63.0,Matthew Gentzkow,32
program Investissements d'Avenir,20.0,Brown University UTRA,78.0,Analysis Inc.,4.0,Junta de Andalucia),63.0,Ricardo Reis,32
2015 Annual Congress of the European Economic Association,20.0,George Washington University,77.0,Fondazione Cariplo,4.0,Fundacion Ramon Areces,62.0,Michele Tertilt,31
LABEX CORTEX,20.0,Colorado State University,76.0,Marine Harvest Canada Ltd.,4.0,Inter-American Developing Bank,62.0,Stephane Bonhomme,31
International Conference on Macroeconomic Analysis and International Finance,20.0,University of Nottingham,76.0,Daiwa Securities,4.0,Australia Research Council Discovery Project,62.0,Claudia Goldin,31
Bangladesh Rural Advancement Committee (BRAC),20.0,Maastricht University,75.0,AiMark,4.0,National Bank of Belgium (NBB),61.0,Christian Leuz,31
Climate changes in the Mediterranean area,20.0,Economics Department,75.0,GfK Mode,4.0,Chinese Scholarship Council (CSC),61.0,Martin Dufwenberg,31
EALE,20.0,Rice University,74.0,Fondazione Flaminia,4.0,Ministry of Education of Humanities and Social Science Project,61.0,Douglas Cumming,31
Japanese Economic Association Spring Meeting,19.0,University of St. Gallen,74.0,Sanofi-Aventis,4.0,Hong Kong Research Grants Council (RGC),61.0,Alex Edmans,31
Statistical Modeling of Nonlinear Dynamic Processes,19.0,Aarhus University,73.0,Medicare Advantage,4.0,Chilean Commission for Scientific and Technological Research (CONICYT),60.0,Johannes Horner,31
American Finance Association Meetings,19.0,"Southwestern University of Finance and Economics, China",73.0,Pharmerit International,4.0,Swedish Energy Agency,60.0,Matthew Rabin,31
Australian Bureau of Agricultural and Resource Economics and Sciences (ABARES),19.0,Rutgers University,72.0,"Otsuka Pharmaceutical Development & Commercialization, Inc.",4.0,"Household, Income and Labour Dynamics in Australia (HILDA) Survey",60.0,Thierry Mayer,31
EEA-ESEM 2012,19.0,Tinbergen Institute,71.0,"Beirut, Information International",4.0,Grant-in-Aid for Young Scientists,60.0,Rachel Griffith,31
2015 European Accounting Association Annual Congress,19.0,University of Landau,71.0,Tokunaga,4.0,Spanish Ministry of Education and Science,60.0,Yeon-Koo Che,31
HTA,19.0,University of Wisconsin,70.0,Abbott Laboratories,4.0,Research Foundation Flanders (FWO),59.0,Eric Ghysels,31
World Congress of Environmental and Resource Economists,19.0,University of Cologne,70.0,Enel Distribuzione,4.0,Grant Agency of the Czech Republic,58.0,Yossi Spiegel,31
VINNOVA,19.0,Bank of England,70.0,Xcenda GmbH,4.0,Sectorial Operational Program for Human Resources Development 2007-2013,58.0,Dilip Mookherjee,31
European Economic Association 2010,19.0,University of Illinois,69.0,Helmholtz Allianz Energy-Trans,4.0,Basque Government,58.0,David Weil,31
Royal Economics Society (RES),19.0,Osaka University,68.0,"PAREXEL Access Consulting, PAREXEL International",4.0,Croatian Science Foundation,57.0,Esteban Rossi-Hansberg,31
CIFAR,19.0,Melbourne Institute of Applied Economic and Social Research (Melbourne Institute,68.0,Maersk Lines,4.0,FEDER/COMPETE,56.0,Ali Hortacsu,31
IDE-JETRO,19.0,University of Pittsburgh,67.0,Moody's KMV,4.0,Russian Academic Excellence Project,56.0,Guillaume Frechette,30
United Nations Food and Agriculture Organization (FAO),18.0,"Cass Business School, City",67.0,Cooke Aquaculture Inc.,4.0,China National Social Sciences Fund,56.0,Toke Aidt,30
CIFOR,18.0,Wharton School,67.0,Eurostat,4.0,Yrjo Jahnsson Foundation,56.0,Stephen Brown,30
IZA,18.0,Universitat Pompeii Fabra,66.0,PTV GROUP,4.0,European Regional Development Fund (ERDF),55.0,Jan Wallanders,30
NBER Summer Institute 2015,18.0,"University of California, San Diego",66.0,"Haven Insights, LLC",4.0,Japan Society for the Promotion of Science (JSPS KAKENHI,55.0,Philippe Jehiel,30
Econometric Society,18.0,Simon Fraser University,66.0,Kopernik,4.0,Centre for Climate Change Economics and Policy,55.0,Marianne Bertrand,30
Longitudinal Employer-Household Dynamics Program,18.0,Vanderbilt University,65.0,Mundipharma International Ltd.,4.0,Austrian Science Fund,54.0,Paresh Narayan,30
American Economic Association Annual Meetings,18.0,Institute of Ocean Sciences,65.0,TransGrid,4.0,Fritz Thyssen Foundation (FTF),54.0,Louis Kaplow,30
Scientific and Technological Research Council of Turkey (TUBITAK),18.0,Aalto University,65.0,Suomen Arvopaperimarkkinoiden Edistamissaatio,4.0,Xunta de Galicia,54.0,Giacomo Corneo,30
2017,18.0,University of Tennessee,65.0,Universitadegli Studi di Milano,4.0,Japan Society for the Promotion of Science (JSPS) ,53.0,Stijn Claessens,30
2016 Cross Country Perspectives of Finance conferences,18.0,University of Notre Dame,64.0,Lundbeck GmbH,4.0,Natural Science Foundation of Shandong Province,53.0,Michael Greenstone,30
Urban Economics Association,18.0,Chinese Academy of Sciences,64.0,Suncor Energy Inc.,4.0,USDA,53.0,Craig Gundersen,30
CSO,18.0,NBER Summer Institute,63.0,Waterlow Legal and Regulatory Ltd.,4.0,Beijing Natural Science Foundation (BJNSF),53.0,Marcel Fafchamps,30
CSAE,18.0,University of Oregon,63.0,Purdue Pharma L.P,4.0,Ewing Marion Kauffman Foundation,53.0,Chris Udry,30
2014 Eastern Finance Association,18.0,University of Aberdeen,63.0,Unilever,4.0,Comunidad de Madrid,53.0,Yan Chen,30
RAND,18.0,University of Miami,63.0,Kyuquot SEAfoods Ltd.,4.0,National Science Centre,53.0,Emmanuel Farhi,30
HILDA Survey,17.0,"University of Economics, Prague",63.0,Regione Sardegna,4.0,Research Foundation of the State of Sao Paulo (FAPESP),52.0,Angus Deaton,29
ESPE,17.0,University of Liege,62.0,Caltrans,4.0,Greek national funds,51.0,Amit Khandelwal,29
Queen's Printer for Scotland,17.0,Stockholm University,62.0,Court Innovations Inc.,4.0,Ministerio de Ciencia e Innovacion,51.0,Chris Barrett,29
Health Technology Assessment,17.0,The Pennsylvania State University,62.0,BMS,4.0,National Basic Research Program of China,51.0,Paul Rhode,29
ESSEC,17.0,Hankuk University of Foreign Studies Research Fund of 2018,61.0,Sunai Consultancy Private Ltd.,4.0,CREATE,51.0,Derek Neal,29
ITAM,17.0,Temple University,61.0,MSU AgBio Research,4.0,Hatch,51.0,Yasuyuki Sawada,29
Add Health website,17.0,Uppsala University,61.0,Gallup,4.0,John Templeton Foundation (JTF),51.0,Christian Dustmann,29
LISER,17.0,Johns Hopkins University,60.0,Grieg Seafood,4.0,National Key R&D Program of China,50.0,Alessandro Pavan,29
American Economic Association Meeting,17.0,Queen's University,60.0,Larrain Vial,4.0,Mexican National Science and Technology Council (CONACYT),50.0,Marciano Siniscalchi,29
National Statistics,17.0,HEC Montreal,59.0,Standard Chartered Bank,4.0,"CGIAR Research Program on Policies, Institutions, and Markets (PIM)",50.0,Gianluca Violante,29
Public Company Accounting Oversight Board (PCAOB),17.0,Erasmus University,59.0,Goldman Sachs,4.0,UK Energy Research Centre (UKERC),50.0,Frederic Vermeulen,29
HKUST,17.0,Humboldt-Universitat zu Berlin,58.0,Ministerio do Trabalho,4.0,China National Science Foundation,50.0,Roland Benabou,29
American Finance Association Annual Meeting,17.0,University of Innsbruck,58.0,Green Street Advisors,4.0,Kauffman Foundation,50.0,Gene Grossman,29
French National Research Ageny (ANR),17.0,Darden School of Business,56.0,"CSIC Pride (Nanjing) Intelligent Equipment System Co., Ltd.",4.0,National Key Research and Development Project of China,50.0,Zhu,29
Financial Intermediation Research Society (FIRS),17.0,Universite Paris-Dauphine,56.0,Endeavour Energy,4.0,JSPS Grant-in-Aid for Scientific Research,50.0,Kevin Lang,29
Financial Valuation and Risk Management,17.0,University of Barcelona,55.0,Zealand Banking Group Limited,4.0,Federal Ministry of Economic Cooperation and Development of Germany (BMZ),50.0,Tarun Ramadorai,29
Econometric Society Australasian Meeting (ESAM),16.0,University of Regina,55.0,"WellPoint, Inc. AHRQ,",4.0,Canada Research Chairs Program,50.0,Michael Kremer,29
International Conference of Agricultural Economists (ICAE),16.0,Southern Methodist University,55.0,CoreLogic Solutions LLC,4.0,Universitat Jaume I,49.0,Joshua Angrist,29
Crown Copyright,16.0,California Institute of Technology,54.0,JICA,4.0,European Community,48.0,Matthias Sutter,29
Western Economic Association Meetings,16.0,National Taiwan Ocean University,54.0,NRG,4.0,European Community's Seventh Framework Programme (FP7/2010-2014),48.0,George Mailath,29
Southern Finance Association,16.0,"Universitat Autonoma de Barcelona, Spain",53.0,"Lilly Endowment, Inc.",4.0,African Economic Research Consortium (AERC),48.0,Glen Weyl,29
COMPARE,16.0,Corvinus University of Budapest,53.0,Ericsson,4.0,Australian Centre for International Agricultural Research (ACIAR),48.0,Richard Baldwin,29
Western Economic Association International,16.0,UC San Diego,53.0,Clarksons,4.0,Deutsche Bundesbank,48.0,Antoinette Schoar,29
FOODSECURE,16.0,University of International Business and Economics,52.0,Verbundnetz Gas AG,4.0,IFPRI,48.0,Imran Rasul,29
Research Foundation of the State of Sao Paulo (FAPESP),16.0,BI Norwegian Business School,52.0,Water Corporation,3.0,Medical Research Council,48.0,Albert Park,28
2011 Southern Economic Association Annual Meeting,16.0,University of Adelaide,52.0,JSPS KAKENHI,3.0,National Science Council,48.0,Marco Ottaviani,28
