text,abbreviation,full
Association for Education Finance and Policy,AEFP,American Education Finance and Policy Association (AEFP)
Agencia Estatal de Investigacion,AEI,Spanish National Research Agency (AEI)
Spanish Agencia Estatal de Investigacion,AEI,Spanish National Research Agency (AEI)
Agencia Espanola de Investigacion,AEI,Spanish National Research Agency (AEI)
Spanish National Research Agency,AEI,Spanish National Research Agency (AEI)
Spanish State Research Agency,AEI,Spanish National Research Agency (AEI)
Association of Equipment Manufacturers,AEM,Association of Equipment Manufacturers (AEM)
Spanish State Meteorological Agency,AEMET,Spanish State Meteorological Agency (AEMET)
Centro Territorial de Extremadura de la Agencia Estatal de Meteorologia,AEMET,Spanish State Meteorological Agency (AEMET)
Spanish Agencia Estatal de Meteorologia,AEMET,Spanish State Meteorological Agency (AEMET)
Australian Energy Market Operator,AEMO,Australian Energy Market Operator (AEMO)
Asian Economic Panel,AEP,Asian Economic Panel (AEP)
Atmospheric and Environmental Research,AER,Atmospheric and Environmental Research (AER)
American Educational Research Association,AERA,American Educational Research Association (AERA)
Agribusiness and Economic Research Unit,AERU,Agribusiness and Economic Research Unit (AERU)
Alliance for Accelerating Excellence in Science in Africa,AESA,Alliance for Accelerating Excellence in Science in Africa (AESA)
American Finance Associaton,AFA,American Finance Associaton (AFA)
Alliance for Food and Bioproducts Innovation,AFBI,Alliance for Food and Bioproducts Innovation (AFBI)
Alliance for Food and Bioproducts Innovation Scholars Program,AFBI,Alliance for Food and Bioproducts Innovation (AFBI)
Congres de lAssociation Francophone de Comptabilite,AFC,Association Francophone de Comptabilite (AFC)
Association Francophone de Comptabilite,AFC,Association Francophone de Comptabilite (AFC)
Department of Agriculture Fishery and Conservation,AFCD,Department of Agriculture Fishery and Conservation (AFCD)
Agriculture Fisheries and Conservation Department,AFCD,Department of Agriculture Fishery and Conservation (AFCD)
French Development Agency,AFD,French Development Agency (AFD)
Agence Francaise de Developpement,AFD,French Development Agency (AFD)
Agence Francaise pour le Developpement,AFD,French Development Agency (AFD)
French Agency for Development,AFD,French Development Agency (AFD)
African Development Bank,AfDB,African Development Bank (AfDB)
African Development Bank Group,AfDB,African Development Bank (AfDB)
Ankang Fisheries Experimental and Demonstration Station,AFEDS,Ankang Fisheries Experimental and Demonstration Station (AFEDS)
Agriculture Forestry and Fisheries Research Council,AFFRC,Agriculture Forestry and Fisheries Research Council (AFFRC)
Armed Forces Institute of Regenerative Medicine,AFIRM,Armed Forces Institute of Regenerative Medicine (AFIRM)
Asian Forest Cooperation Organization,AFoCO,Asian Forest Cooperation Organization (AFoCO)
Air Force Office of Scientific Research,AFOSR,Air Force Office of Scientific Research (AFOSR)
Air Force of Scientific Research,AFOSR,Air Force Office of Scientific Research (AFOSR)
Alternative Funding Plans,AFP,Alternative Funding Plans (AFP)
Agriculture and Food Research Initiative,AFRI,USDA Agriculture and Food Research Institute (AFRI)
USDA Agriculture and Food Research Institute,AFRI,USDA Agriculture and Food Research Institute (AFRI)
AirForce Research Laboratory,AFRL,United States Air Force Research Laboratory (AFRL)
Program under Air Force Research Laboratory,AFRL,United States Air Force Research Laboratory (AFRL)
United States Air Force Research Laboratory,AFRL,United States Air Force Research Laboratory (AFRL)
Association Francaise de Sociologie,AFS,Association Francaise de Sociologie (AFS)
American Foundation for Suicide Prevention,AFSP,American Foundation for Suicide Prevention (AFSP)
Australian Government,AG,Australian Government (AG)
University and Research Grants Management Agency,AGAUR,University and Research Grants Management Agency (AGAUR)
Agencia de Gestio dAjuts Universitaris i de Recerca,AGAUR,University and Research Grants Management Agency (AGAUR)
Agency for Management of University and Research Grants,AGAUR,University and Research Grants Management Agency (AGAUR)
Agencia de Gestio dAjuts Universitaris i de Recerca de la Generalitat de Catalunya,AGAUR,University and Research Grants Management Agency (AGAUR)
Alliance for Green Revolution in Africa,AGRA,Alliance for Green Revolution in Africa (AGRA)
African Growth and Development Policy,AGRODEP,African Growth and Development Policy Modeling Consortium (AGRODEP)
African Growth and Development Policy Modeling Consortium,AGRODEP,African Growth and Development Policy Modeling Consortium (AGRODEP)
Agricultural Science and Extension for Economic Development,AgSEED,Agricultural Science and Extension for Economic Development (AgSEED)
American Heart Association,AHA,American Heart Association (AHA)
Arts and Humanities Citation Index,AHCI,Arts and Humanities Citation Index (AHCI)
Alberta Heritage Foundation for Medical Research,AHFMR,Alberta Heritage Foundation for Medical Research (AHFMR)
Australian Health Ministers Advisory Council,AHMAC,Australian Health Ministers Advisory Council (AHMAC)
African Humanities Program,AHP,African Humanities Program (AHP)
Army High Performance Computing Research Center,AHPCRC,Army High Performance Computing Research Center (AHPCRC)
Arts  Humanities Research Council,AHRC,United Kingdoms Arts and Humanities Research Council (AHRC)
British Arts and Humanities Research Council,AHRC,United Kingdoms Arts and Humanities Research Council (AHRC)
United Kingdoms Arts and Humanities Research Council,AHRC,United Kingdoms Arts and Humanities Research Council (AHRC)
American Hearing Research Foundation,AHRF,American Hearing Research Foundation (AHRF)
Agency for Healthcare Research  Quality,AHRQ,Agency for Healthcare Research and Quality (AHRQ)
Agency for Health Care Quality Research,AHRQ,Agency for Healthcare Research and Quality (AHRQ)
Alberta Health Services,AHS,Alberta Health Services (AHS)
Academic Health Science Centres,AHSC,Academic Health Science Centres (AHSC)
Canadas Academic Health Science Centres,AHSCs,Canadas Academic Health Science Centres (AHSCs)
Australian Housing and Urban Research Institute,AHURI,Australian Housing and Urban Research Institute (AHURI)
Australian Institute for Business and Economics,AIBE,Australian Institute for Business and Economics (AIBE)
AustrianIndonesian Center,AIC,Australia-Indonesia Centre (AIC)
Australia Indonesia Center,AIC,Australia-Indonesia Centre (AIC)
Asian Institute of Corporate Governance,AICG,Asian Institute of Corporate Governance (AICG)
Alberta Innovates Centre for Machine Learning,AICML,Alberta Innovates Centre for Machine Learning (AICML)
Innovation and Data Analysis,AIDA,Innovation and Data Analysis (AIDA)
Atlantic Innovation Fund,AIF,Atlantic Innovation Fund (AIF)
Australian Institute of Family Studies,AIFS,Australian Institute of Family Studies (AIFS)
Australian Institute of Health and Welfare,AIHW,Australian Institute of Health and Welfare (AIHW)
American Institute of Indian Studies,AIIS,American Institute of Indian Studies (AIIS)
Australian Institute of Marine Science,AIMS,Australian Institute of Marine Science (AIMS)
Aligning and Integrating Marketing and Supply Chain Strategy,AIMSS,Aligning and Integrating Marketing and Supply Chain Strategy (AIMSS)
Advanced Intelligence Project,AIP,Advanced Intelligence Project (AIP)
Australia Indonesia Partnership for Economic Governance,AIPEG,Australia Indonesia Partnership for Economic Governance (AIPEG)
Australia Indonesia Partnership for Health Systems Strengthening,AIPHSS,Australia Indonesia Partnership for Health Systems Strengthening (AIPHSS)
Italian Association for Cancer Research,AIRC,Italian Association for Cancer Research (AIRC)
Italian Association for Research on Cancer,AIRC,Italian Association for Cancer Research (AIRC)
Africa Institute of South Africa,AISA,Africa Institute of South Africa (AISA)
AustraliaIsrael Scientific Exchange Foundation,AISEF,AustraliaIsrael Scientific Exchange Foundation (AISEF)
AustraliaIndia Strategic Research Fund,AISRF,AustraliaIndia Strategic Research Fund (AISRF)
Iberian Association for Information Systems and Technologies,AISTI,Iberian Association for Information Systems and Technologies (AISTI)
ONR Project Augmented Immersive Team Training,AITT,ONR Project Augmented Immersive Team Training (AITT)
Australian International Trade and Transport Industry Development Fund,AITTIDF,Australian International Trade and Transport Industry Development Fund (AITTIDF)
American Journal Experts,AJE,American Journal Experts (AJE)
Alaska Monitoring and Assessment Program,AKMAP,Alaska Monitoring and Assessment Program (AKMAP)
Argonne Leadership Computing Facility,ALCF,Argonne Leadership Computing Facility (ALCF)
Academic Leadership Fellows Program,ALFP,Academic Leadership Fellows Program (ALFP)
Assisted Living Innovation Platform,ALIP,Assisted Living Innovation Platform (ALIP)
American Lawyer Media,ALM,American Lawyer Media (ALM)
American Medical Association,AMA,American Medical Association (AMA)
Assessment and Modelling of Baltic Ecosystem Response,AMBER,Assessment and Modelling of Baltic Ecosystem Response (AMBER)
Arctic Marine Biodiversity Observing Network,AMBON,Arctic Marine Biodiversity Observing Network (AMBON)
Advanced Manufacturing Cooperative Research Centre,AMCRC,Advanced Manufacturing Cooperative Research Centre (AMCRC)
Australian Marine Debris Initiative,AMDI,Australian Marine Debris Initiative (AMDI)
Advanced Marine Engineering Center,AMEC,Advanced Marine Engineering Center (AMEC)
African Microeconomic Research Unit,AMERU,African Microeconomic Research Unit (AMERU)
Autorite des Marches Financiers,AMF,Autorite des Marches Financiers (AMF)
Association of Microfinance Institutions in Rwanda,AMIR,Association of Microfinance Institutions in Rwanda (AMIR)
Australian Microscopy and Microanalysis Research Facility,AMMRF,Australian Microscopy and Microanalysis Research Facility (AMMRF)
American Museum of Natural History,AMNH,American Museum of Natural History (AMNH)
Association of Marine Park Tourism Operators,AMPTO,Association of Marine Park Tourism Operators (AMPTO)
Australian Marine Tourist Association,AMPTO,Association of Marine Park Tourism Operators (AMPTO)
ASEAN3 Macroeconomic Research Office,AMRO,ASEAN3 Macroeconomic Research Office (AMRO)
AdvancedManufacturing Supply Chain Initiative,AMSCI,AdvancedManufacturing Supply Chain Initiative (AMSCI)
Australian Mathematical Sciences Institute,AMSI,Australian Mathematical Sciences Institute (AMSI)
Agencia Nacional de Aguas,ANA,Agencia Nacional de Aguas (ANA)
Environmental Authority of Panama,ANAM,Panama - National Environmental Authority (ANAM)
National Authority for the Environment,ANAM,Panama - National Environmental Authority (ANAM)
Autoridad Nacional del Ambiente,ANAM,Panama - National Environmental Authority (ANAM)
Australian National Antarctic Research Expeditions,ANARE,Australian National Antarctic Research Expeditions (ANARE)
Australian National Data Service,ANDS,Australian National Data Service (ANDS)
Association of Nordic Engineers,ANE,Association of Nordic Engineers (ANE)
Andaman and Nicobar Islands Environmental Team,ANET,Andaman and Nicobar Islands Environmental Team (ANET)
IMOS Australian National Facility for Ocean Gliders,ANFOG,IMOS Australian National Facility for Ocean Gliders (ANFOG)
National Innovation Agency,ANI,Portuguese National Innovation Agency (ANI)
Portuguese National Innovation Agency,ANI,Portuguese National Innovation Agency (ANI)
Agencia Nacional de Investigacion e Innovacion,ANII,Agency for Research and Innovation (ANII)
Associazione Nazionale Infermieri Medicina Ospedaliera,ANIMO,Associazione Nazionale Infermieri Medicina Ospedaliera (ANIMO)
Brazilian National Petroleum Agency,ANP,Brazilian National Petroleum Natural Gas and Biofuels Agency (ANP)
National Petroleum Agency,ANP,Brazilian National Petroleum Natural Gas and Biofuels Agency (ANP)
National Agency of Petroleum Natural Gas and Biofuels,ANP,Brazilian National Petroleum Natural Gas and Biofuels Agency (ANP)
Brazilian National Petroleum Natural Gas and Biofuels Agency,ANP,Brazilian National Petroleum Natural Gas and Biofuels Agency (ANP)
Agencia Nacional do Petraleo,ANP,Brazilian National Petroleum Natural Gas and Biofuels Agency (ANP)
National Petroleum Agency of Brazil,ANP,Brazilian National Petroleum Natural Gas and Biofuels Agency (ANP)
Brazilian Authority for Oil Gas and Biofuels,ANP,Brazilian National Petroleum Natural Gas and Biofuels Agency (ANP)
Agencia de Promocion Cientifica y Tecnologica,ANPCyT,National Agency for the Promotion of Science and Technology of Argentina (ANPCyT)
National Agency for Scientific and Technological Promotion,ANPCyT,National Agency for the Promotion of Science and Technology of Argentina (ANPCyT)
Argentinean Agency for RD activities,ANPCyT,National Agency for the Promotion of Science and Technology of Argentina (ANPCyT)
National Agency for Promotion of Science and Technology,ANPCyT,National Agency for the Promotion of Science and Technology of Argentina (ANPCyT)
Argentinian Agency of Scientific and Technological Promotion,ANPCyT,National Agency for the Promotion of Science and Technology of Argentina (ANPCyT)
Argentinian National Agency for Scientific and Technical Promotion,ANPCyT,National Agency for the Promotion of Science and Technology of Argentina (ANPCyT)
Agencia Nacional de Promocion Cientifica y Tecnologica,ANPCYT,National Agency for the Promotion of Science and Technology of Argentina (ANPCyT)
National Agency for the Promotion of Science and Technology of Argentina,ANPCYT,National Agency for the Promotion of Science and Technology of Argentina (ANPCyT)
Australian National Preventive Health Agency,ANPHA,Australian National Preventive Health Agency (ANPHA)
Agence Nationale du Parcs Nationaux,ANPN,Agence Nationale du Parcs Nationaux (ANPN)
French National Research Ageny,ANR,French National Research Ageny (ANR)
Agence Nationale de Recherche,ANR,French National Research Ageny (ANR)
French Agence National de la Recherche,ANR,French National Research Ageny (ANR)
National Research Agency,ANR,French National Research Ageny (ANR)
French National Agency of Research,ANR,French National Research Ageny (ANR)
French Research Agency,ANR,French National Research Ageny (ANR)
National Agency for Research,ANR,French National Research Ageny (ANR)
French state funds,ANR,French National Research Ageny (ANR)
French research national agency,ANR,French National Research Ageny (ANR)
 Research National Agency,ANR,French National Research Ageny (ANR)
French Agency for Research,ANR,French National Research Ageny (ANR)
French Research National Agency,ANR,French National Research Ageny (ANR)
French National Agency,ANR,French National Research Ageny (ANR)
French National Science Agency,ANR,French National Research Ageny (ANR)
French National Research Organization,ANR,French National Research Ageny (ANR)
Agence Nationale de la Recherche de France,ANR,French National Research Ageny (ANR)
American Nonsmokers Rights Foundation,ANRF,American Nonsmokers Rights Foundation (ANRF)
National Research Organisation for Womens Safety,ANROWS,Australias National Research Organisation for Womens Safety (ANROWS)
Australias National Research Organisation for Womens Safety Ltd,ANROWS,Australias National Research Organisation for Womens Safety (ANROWS)
French National Agency for Research on Aids and Viral Hepatitis,ANRS,National Agency for AIDS Research (ANRS) (France) 
French Agency of AIDS Research,ANRS,National Agency for AIDS Research (ANRS) (France) 
French National Agency for Research on HIVAIDS and hepatitis,ANRS,National Agency for AIDS Research (ANRS) (France) 
French National Agency for Aids and Viral Hepatitis Research,ANRS,National Agency for AIDS Research (ANRS) (France) 
French National Association for Research and Technology,ANRT,French National Association for Research and Technology (ANRT)
French National Agency for Research and Technology,ANRT,French National Association for Research and Technology (ANRT)
Association Nationale de Recherche et Technologie,ANRT,French National Association for Research and Technology (ANRT)
French National Research Agency,ANRT,French National Association for Research and Technology (ANRT)
French Ministry of Higher Education and Research,ANRT,French National Association for Research and Technology (ANRT)
French Agency for Research and Technology,ANRT,French National Association for Research and Technology (ANRT)
Advancing New Standards in Reproductive Health,ANSIRH,Advancing New Standards in Reproductive Health (ANSIRH)
Australian Nuclear Science and Technology Organisation,ANSTO,Australian Nuclear Science and Technology Organisation (ANSTO)
Asociacion Nacional de Universidades e Instituciones de Educacion Superior,ANUIES,Asociacion Nacional de Universidades e Instituciones de Educacion Superior (ANUIES)
Advanced Naval Vessels Research Laboratory,ANVL,Advanced Naval Vessels Research Laboratory (ANVL)
Australia  New Zealand Association for Medical Education,ANZAME,Australia  New Zealand Association for Medical Education (ANZAME)
Asian Office of Aerospace Research  Development,AOARD,Asian Office of Aerospace Research  Development (AOARD)
Air Force Office of Scientific Research Asian Office of Aerospace Research and Development,AOARD,Asian Office of Aerospace Research  Development (AOARD)
Australian Ocean Data Network,AODN,Australian Ocean Data Network (AODN)
Alaska Ocean Observing System,AOOS,Alaska Ocean Observing System (AOOS)
Association of Oncology Social Work,AOSW,Association of Oncology Social Work (AOSW)
Asia Pacific Association of Communication Directors,APACD,Asia Pacific Association of Communication Directors (APACD)
Australian Postgraduate Award Industry,APAI,Australian Postgraduate Award Industry (APAI)
Automotive Partnership Canada,APC,Automotive Partnership Canada (APC)
AsiaPacific Data Research Center,APDRC,AsiaPacific Data Research Center (APDRC)
Association for Polar Early Career Scientists,APECS,Association for Polar Early Career Scientists (APECS)
Asia Pacific Energy Research Centre,APERC,Asia Pacific Energy Research Centre (APERC)
American Psychological Foundation,APF,American Psychological Foundation (APF)
Australian Prawn Farmers Association,APFA,Australian Prawn Farmers Association (APFA)
Australian Primary Health Care Research Institute,APHCRI,Australian Primary Health Care Research Institute (APHCRI)
Asia Pacific Network Information Centre,APNIC,Asia Pacific Network Information Centre (APNIC)
AsiaPacific Ocean Research Center,APORC,AsiaPacific Ocean Research Center (APORC)
Association of Public Policy Analysis and Management,APPAM,Association of Public Policy Analysis and Management (APPAM)
Association of Public Policy and Management,APPAM,Association of Public Policy Analysis and Management (APPAM)
ACEs PublicPrivate Partnership Initiative,APPI,ACEs PublicPrivate Partnership Initiative (APPI)
ONR Asia Pacific Research Initiative for Sustainable Energy Systems,APRISES,ONR Asia Pacific Research Initiative for Sustainable Energy Systems (APRISES)
Australian Public Service Commission,APSC,Australian Public Service Commission (APSC)
Australia  Pacific Science Foundation,APSF,Australia  Pacific Science Foundation (APSF)
Asia Pacific Trade Seminars,APTS,Asia Pacific Trade Seminars (APTS)
Air Quality Metropolitan District,AQMD,Air Quality Metropolitan District (AQMD)
Applied Quantitative Methods Network,AQMeN,Applied Quantitative Methods Network (AQMeN)
Australian Research Centre for Aerospace Automation,ARCAA,Australian Research Centre for Aerospace Automation (ARCAA)
ASEAN Regional Center for Biodiversity Conservation,ARCBC,ASEAN Regional Center for Biodiversity Conservation (ARCBC)
Action Research and Critical Inquiry in Organisations,ARCIO,Action Research and Critical Inquiry in Organisations (ARCIO)
Adaptation and Resilience of Coastal Energy Supply,ARCoES,Adaptation and Resilience of Coastal Energy Supply (ARCoES)
Academic Research Contribution Program,ARCP,Academic Research Contribution Program (ARCP)
Australian Research Centre in Sex Health and Society,ARCSHS,Australian Research Centre in Sex Health and Society (ARCSHS)
Appalachian Research Initiative for Environmental Science,ARIES,Appalachian Research Initiative for Environmental Science (ARIES)
Atmospheric Dynamics Research Infrastructure in Europe,ARISE,Atmospheric Dynamics Research Infrastructure in Europe (ARISE)
Amphibian Research and Monitoring Initiative,ARMI,Amphibian Research and Monitoring Initiative (ARMI)
Association for Research of Nonprofit Organizations and Voluntary Action,ARNOVA,Association for Research of Nonprofit Organizations and Voluntary Action (ARNOVA)
Associacao Regional de Pesca Desportiva de Rio,ARPDR,Associacao Regional de Pesca Desportiva de Rio (ARPDR)
American Recovery and Reinvestment Act,ARRA,American Recovery and Reinvestment Act (ARRA)
Advanced Radar Research Center,ARRC,Advanced Radar Research Center (ARRC)
Adolescent Risk Research Unit,ARRU,Adolescent Risk Research Unit (ARRU)
Aquaculture Research Unit,ARU,Aquaculture Research Unit (ARU)
American Statistical Association,ASA,American Statistical Association (ASA)
Center for Accessibility and Safety for an Aging Population,ASAP,Center for Accessibility and Safety for an Aging Population (ASAP)
Australian School of Business,ASB,Australian School of Business (ASB)
Arctic Synoptic Basinwide Oceanography,ASBO,Arctic Synoptic Basinwide Oceanography (ASBO)
Antwerp Study Centre for Infectious Diseases,ASCID,Antwerp Study Centre for Infectious Diseases (ASCID)
American Society of Clinical Oncology,ASCO,American Society of Clinical Oncology (ASCO)
American Society of Echocardiography,ASE,American Society of Echocardiography (ASE)
Advanced Sensors and Electronics Defence,ASED,Advanced Sensors and Electronics Defence (ASED)
American Society of Engineering Education,ASEE,American Society of Engineering Education (ASEE)
Animal in Science Education Trust,ASET,Animal in Science Education Trust (ASET)
Atlantic Salmon Federation,ASF,Atlantic Salmon Federation (ASF)
Association of Superannuation Funds of Australia,ASFA,Association of Superannuation Funds of Australia (ASFA)
ASEANSwiss Partnership on Social Forestry and Climate Change,ASFCC,ASEANSwiss Partnership on Social Forestry and Climate Change (ASFCC)
Australian Sporting Goods Association,ASGA,Australian Sporting Goods Association (ASGA)
